City,Venue,Venue Latitude,Venue Longitude,Venue Category
Antwerpen,AMUZ,51.21610481207416,4.401909094111822,Concert Hall
Antwerpen,Dr. Martens,51.21724805230214,4.40075135960464,Shoe Store
Antwerpen,El Bife,51.220463176273476,4.399097937832735,Argentinian Restaurant
Antwerpen,Zadig & Voltaire,51.216491661186616,4.406509146285935,Clothing Store
Antwerpen,St. Vincents,51.215260105700054,4.402679237957262,Design Studio
Antwerpen,Zwarte Zaal,51.21947629769732,4.398831315865248,Theater
Antwerpen,Cartoon's ,51.221692709260495,4.398058396803749,Indie Movie Theater
Antwerpen,Marché-Couverts,51.22323704770704,4.402718251718127,French Restaurant
Antwerpen,Fabiola,51.215793754807905,4.399282528632412,Sandwich Place
Antwerpen,ComoComo,51.216154919683405,4.401725416221411,Spanish Restaurant
Antwerpen,Renaissance,51.21705344918383,4.399606216175914,Italian Restaurant
Antwerpen,Frites Atelier,51.2166956525543,4.4044028411076654,Friterie
Antwerpen,Wild Project,51.219916071300254,4.396964970006253,Vegetarian / Vegan Restaurant
Antwerpen,Amadeus 2,51.221197409752534,4.3976991341829015,BBQ Joint
Antwerpen,Mint,51.21678212523068,4.399919305394572,Bistro
Antwerpen,Camino,51.217141819121,4.396581606195229,Vietnamese Restaurant
Antwerpen,Vandoag is 't,51.222130622098796,4.411100228622432,Coffee Shop
Antwerpen,Papa Jos,51.222459571013,4.408575734543131,Bar
Antwerpen,Cafématic,51.21514128062792,4.4023102906214735,Coffee Shop
Antwerpen,Domestic Bakery & Cuisinette,51.21602577958321,4.404784297023489,Bakery
Antwerpen,De Arme Duivel,51.21649226022394,4.407913696160052,Belgian Restaurant
Antwerpen,Graanmarkt 13,51.21605978679977,4.408858730647504,French Restaurant
Antwerpen,Sienna & Lois,51.215959397503894,4.401988932528893,Women's Store
Antwerpen,Me & My Monkey,51.21763573122324,4.396331308274219,Coffee Shop
Antwerpen,Native,51.21707361968364,4.396970422452216,Bistro
Antwerpen,Günther Watté chocoladeCafé,51.217856011917036,4.398468756784151,Coffee Shop
Antwerpen,Sissy-Boy,51.21688024724778,4.399233252225552,Clothing Store
Antwerpen,Oxford,51.21640343790264,4.405362447755607,Men's Store
Antwerpen,Toneelhuis (Bourla Schouwburg),51.216000384587424,4.406641587515113,Theater
Gent,"Cut, Paste & Paint",51.05077995025719,3.7189819257925527,Salon / Barbershop
Gent,Bocca,51.05053783818365,3.7196700274944305,Italian Restaurant
Gent,De Kastart,51.0520106489365,3.7196016311645512,Italian Restaurant
Gent,Café René,51.050799,3.719812,Bistro
Gent,Patrick Foley's,51.05007058024616,3.7196672858609827,Irish Pub
