ID,Name,Habitants,Index,Acreage,HabitantsPerSquareKm,ProsperityIndex,Province,Latitude,Longitude,BoundingBox,Frans,Nederlands,Duits,Begin,Einde
1,Antwerpen,525.935,443,"204,51",2.572,"88,2",Antwerpen,51.2211097,4.3997081,"['51.1432868', '51.3776412', '4.2175769', '4.4979684']",Anvers,Antwerpen,Antwerpen,01.01.0001,31.12.9999
2,Gent,262.219,204,"156,18",1.679,"102,3",Oost-Vlaanderen,51.0538286,3.7250121,"['50.9795422', '51.187946', '3.5797616', '3.849325']",Gand,Gent,Gent,01.01.0001,31.12.9999
3,Charleroi,202.267,370,"102,08",1.982,"73,0",Henegouwen,50.4120332,4.4436244,"['50.3527894', '50.4925149', '4.3474458', '4.5075571']",Charleroi,-,-,01.01.0001,31.12.9999
4,Luik,197.327,219,"69,39",2.844,"81,4",Luik,50.6451381,5.5734203,"['50.5610182', '50.6881981', '5.5233883', '5.675257']",Liège,Luik,Lüttich,01.01.0001,31.12.9999
5,Brussel,181.726,140,"32,61",5.573,"70,0",Brussel,50.8465573,4.351697,"['50.6865573', '51.0065573', '4.191697', '4.511697']",Bruxelles,Brussel,-,01.01.0001,31.12.9999
6,Schaarbeek,133.309,2.146,"8,14",16.377,"65,4",Brussel,50.8676041,4.3737121,"['50.8434069', '50.8811977', '4.3571322', '4.4130849']",Schaerbeek,Schaarbeek,-,01.01.0001,31.12.9999
7,Anderlecht,119.714,2.007,"17,74",6.747,"63,8",Brussel,50.8390983,4.3296526,"['50.8070598', '50.850549', '4.2437658', '4.3402385']",Anderlecht,Anderlecht,-,01.01.0001,31.12.9999
8,Brugge,118.325,194,"138,40",855,"111,7",West-Vlaanderen,51.2085526,3.226772,"['51.1581918', '51.363347', '3.1341802', '3.309804']",Bruges,Brugge,Brügge,01.01.0001,31.12.9999
9,Namen,110.779,260,"175,69",631,"99,9",Namen,50.4665284,4.8661892,"['50.3872825', '50.5313007', '4.723053', '4.9841776']",Namur,Namen,-,01.01.0001,31.12.9999
10,Leuven,101.624,288,"56,63",1.794,"113,6",Vlaams-Brabant,50.879202,4.7011675,"['50.8242096', '50.9440707', '4.640295', '4.7705305']",Louvain,Leuven,Löwen,01.01.0001,31.12.9999
11,Sint-Jans-Molenbeek,97.462,808,"5,89",16.542,"57,1",Brussel,50.8545959,4.338636,"['50.844035', '50.8714317', '4.2831135', '4.3487272']",Molenbeek-Saint-Jean,Sint-Jans-Molenbeek,-,01.01.0001,31.12.9999
12,Bergen,95.613,183,"146,53",653,"88,1",Henegouwen,50.4549568,3.951958,"['50.3777531', '50.5138107', '3.8547797', '4.085104']",Mons,Bergen,-,01.01.0001,31.12.9999
13,Elsene,86.876,610,"6,34",13.693,"89,7",Brussel,50.8331141,4.3668279,"['50.8009321', '50.8406267', '4.3479344', '4.4034045']",Ixelles,Elsene,-,01.01.0001,31.12.9999
14,Mechelen,86.616,235,"65,19",1.329,"104,8",Antwerpen,51.0281381,4.4803453,"['50.9909709', '51.0785768', '4.3700927', '4.549039']",Malines,Mechelen,Mechelen,01.01.0001,31.12.9999
15,Aalst,86.445,263,"78,12",1.107,"107,6",Oost-Vlaanderen,50.9383226,4.0392147,"['50.8993828', '50.9948309', '3.9824469', '4.1641424']",Alost,Aalst,Aalst,01.01.0001,31.12.9999
16,Ukkel,83.024,1.303,"22,91",3.624,"112,9",Brussel,50.8035441,4.3338445,"['50.763682', '50.8169786', '4.3110983', '4.4128924']",Uccle,Ukkel,-,01.01.0001,31.12.9999
17,La Louvière,80.757,483,"64,24",1.257,"79,8",Henegouwen,50.479487,4.1852682,"['50.4332671', '50.5249551', '4.0699218', '4.2299745']",La Louvière,-,-,01.01.2019,31.12.9999
17,La Louvière,80.757,483,"64,24",1.257,"79,8",Henegouwen,50.479487,4.1852682,"['50.4332671', '50.5249551', '4.0699218', '4.2299745']",La Louvière,-,-,01.01.0001,31.12.2018
18,Hasselt,78.296,514,"102,24",766,"113,2",Limburg,50.9303735,5.3378043,"['50.8675417', '50.981282', '5.2121524', '5.4149391']",-,Hasselt,-,01.01.0001,31.12.9999
19,Sint-Niklaas,77.769,259,"83,80",927,"99,3",Oost-Vlaanderen,51.1646685,4.1395124,"['51.1296079', '51.2078094', '3.9853092', '4.2216963']",Saint-Nicolas (Waes),Sint-Niklaas,Sint-Niklaas,01.01.0001,31.12.9999
20,Kortrijk,76.735,218,"80,02",959,"104,5",West-Vlaanderen,50.8276429,3.2659884,"['50.7310386', '50.874934', '3.2007586', '3.3588007']",Courtrai,Kortrijk,Kortrijk,01.01.0001,31.12.9999
21,Oostende,71.494,446,"37,72",1.895,"100,3",West-Vlaanderen,51.2258565,2.919496,"['51.1846337', '51.2455721', '2.8386276', '3.0035408']",Ostende,Oostende,Oostende,01.01.0001,31.12.9999
22,Doornik,69.370,106,"213,75",325,"94,8",Henegouwen,50.60566,3.3878259,"['50.5523575', '50.6887918', '3.2440216', '3.5769352']",Tournai,Doornik,-,01.01.0001,31.12.9999
23,Genk,66.227,3.728,"87,85",754,"89,5",Limburg,50.9654864,5.5001456,"['50.9130492', '51.020766', '5.3843163', '5.5951688']",-,Genk,-,01.01.0001,31.12.9999
24,Seraing,64.259,373,"35,34",1.819,"77,5",Luik,50.6152381,5.5089437,"['50.5472961', '50.6286135', '5.4698932', '5.5660933']",Seraing,-,-,01.01.0001,31.12.9999
25,Roeselare,62.954,292,"59,79",1.053,"102,1",West-Vlaanderen,50.9444948,3.124765,"['50.8870139', '50.9940257', '3.0619143', '3.1784858']",Roulers,Roeselare,Roeselare,01.01.0001,31.12.9999
26,Moeskroen,58.474,426,"40,08",1.459,"84,3",Henegouwen,50.7433351,3.2139093,"['50.7099086', '50.7658775', '3.1783878', '3.3292102']",Mouscron,Moeskroen,,01.01.2019,31.12.9999
26,Moeskroen,58.474,426,"40,08",1.459,"84,3",Henegouwen,50.7433351,3.2139093,"['50.7099086', '50.7658775', '3.1783878', '3.3292102']",Mouscron,Moeskroen,-,01.01.0001,31.12.2018
27,Sint-Lambrechts-Woluwe,56.660,4.794,"7,22",7.842,"94,9",Brussel,50.8430448,4.4256732,"['50.8337623', '50.8630337', '4.3999896', '4.461777']",Woluwe-Saint-Lambert,Sint-Lambrechts-Woluwe,-,01.01.0001,31.12.9999
28,Vorst,56.289,4.251,"6,25",9.009,"81,4",Brussel,50.8091426,4.3177512,"['50.7975919', '50.8308078', '4.3019949', '4.353607']",Forest,Vorst,-,01.01.0001,31.12.9999
29,Verviers,55.207,160,"33,07",1.669,"77,9",Luik,50.5932274,5.8638544,"['50.5492321', '50.6258273', '5.8130414', '5.9256531']",Verviers,-,-,01.01.0001,31.12.9999
30,Jette,52.536,2.652,"5,04",10.417,"82,4",Brussel,50.8759585,4.3245702,"['50.864506', '50.8941515', '4.2937557', '4.3406693']",Jette,Jette,-,01.01.0001,31.12.9999
32,Beveren,48.668,197,"150,18",324,"113,7",Oost-Vlaanderen,51.21288495,4.24908132985944,"['51.1883084', '51.2373196', '4.1980342', '4.2844242']",-,Beveren,-,01.01.0001,25.01.1965
32,Beveren,48.668,197,"150,18",324,"113,7",Oost-Vlaanderen,51.21288495,4.24908132985944,"['51.1883084', '51.2373196', '4.1980342', '4.2844242']",-,Beveren,-,01.01.0001,31.12.9999
33,Etterbeek,48.367,1.568,"3,15",15.358,"81,2",Brussel,50.8361447,4.3861737,"['50.8225269', '50.844661', '4.3792052', '4.4117701']",Etterbeek,Etterbeek,-,01.01.0001,31.12.9999
34,Beringen,46.346,588,"78,30",592,"94,4",Limburg,51.0502026,5.22080908230083,"['51.0309054', '51.0691676', '5.1993562', '5.2520007']",-,Beringen,-,01.01.0001,31.12.9999
35,Dendermonde,45.769,227,"55,67",822,"108,3",Oost-Vlaanderen,51.0312293,4.098112,"['50.9851181', '51.0724309', '3.9966602', '4.1940212']",Termonde,Dendermonde,Dendermonde,01.01.0001,31.12.9999
36,Vilvoorde,44.727,651,"21,48",2.083,"96,0",Vlaams-Brabant,50.92813655,4.43290525148385,"['50.8968325', '50.9592578', '4.3606787', '4.4870828']",Vilvorde,Vilvoorde,Vilvoorde,01.01.0001,31.12.9999
