City,Venue,Venue Latitude,Venue Longitude,Category Class,Venue Category
Antwerpen,The Chocolate Line,51.2180932171594,4.408361749118097,https://ss3.4sqi.net/img/categories_v2/shops/candystore_,Chocolate Shop
Antwerpen,Vans Store,51.21699695457625,4.400975582461252,https://ss3.4sqi.net/img/categories_v2/shops/apparel_shoestore_,Shoe Store
Antwerpen,De Pottekijker,51.22109707205255,4.4018698571024215,https://ss3.4sqi.net/img/categories_v2/food/default_,Belgian Restaurant
Antwerpen,Copyright,51.21732004463701,4.399895803706711,https://ss3.4sqi.net/img/categories_v2/shops/bookstore_,Bookstore
Antwerpen,Local Store,51.21632221098634,4.403123840364366,https://ss3.4sqi.net/img/categories_v2/food/breakfast_,Breakfast Spot
Antwerpen,Glow Coffee,51.219669306443784,4.402761931906884,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop
Antwerpen,MOOSE in the CITY,51.21679223977303,4.400549169651516,https://ss3.4sqi.net/img/categories_v2/shops/apparel_,Clothing Store
Antwerpen,Tapa Bar,51.21954886046016,4.399444094245382,https://ss3.4sqi.net/img/categories_v2/food/spanish_,Spanish Restaurant
Antwerpen,Meat Factory,51.22102049999999,4.4002716,https://ss3.4sqi.net/img/categories_v2/food/default_,Belgian Restaurant
Antwerpen,Hoeked Doughnuts,51.215744147887094,4.402444438158051,https://ss3.4sqi.net/img/categories_v2/food/donuts_,Donut Shop
Antwerpen,Kammenstraat,51.21674033562375,4.401254874589246,https://ss3.4sqi.net/img/categories_v2/travel/highway_,Road
Antwerpen,Sir Anthony Van Dyck,51.22021677531574,4.3992969252113845,https://ss3.4sqi.net/img/categories_v2/food/french_,French Restaurant
Antwerpen,Louis Vuitton,51.215914,4.406393,https://ss3.4sqi.net/img/categories_v2/shops/apparel_boutique_,Boutique
Antwerpen,BarBel,51.218429520529554,4.3985826929046015,https://ss3.4sqi.net/img/categories_v2/food/tapas_,Tapas Restaurant
Antwerpen,Ace & Tate,51.21821448019929,4.397692402446751,https://ss3.4sqi.net/img/categories_v2/building/medical_opticalshop_,Optical Shop
Antwerpen,Philip's Biscuits,51.2163790836574,4.404527931501155,https://ss3.4sqi.net/img/categories_v2/shops/candystore_,Candy Store
Antwerpen,‘t Stad Leest,51.21808595604924,4.397708675115859,https://ss3.4sqi.net/img/categories_v2/shops/bookstore_,Bookstore
Antwerpen,Coffeelabs,51.218907518024736,4.408302381926603,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop
Antwerpen,Crème de la Crème,51.220512783740105,4.399552396582918,https://ss3.4sqi.net/img/categories_v2/food/icecream_,Ice Cream Shop
Antwerpen,Bij Lam & Yin,51.2193,4.3989,https://ss3.4sqi.net/img/categories_v2/food/asian_,Chinese Restaurant
Antwerpen,St. Vincents,51.215260105700054,4.402679237957262,https://ss3.4sqi.net/img/categories_v2/shops/design_,Design Studio
Antwerpen,Pick&Mex,51.21936408741781,4.398731689775403,https://ss3.4sqi.net/img/categories_v2/food/taco_,Taco Place
Antwerpen,Zadig & Voltaire,51.216491661186616,4.406509146285935,https://ss3.4sqi.net/img/categories_v2/shops/apparel_,Clothing Store
Antwerpen,Fabiola,51.215793754807905,4.399282528632412,https://ss3.4sqi.net/img/categories_v2/food/deli_,Sandwich Place
Antwerpen,Mai-Thai Cuisine,51.22089793085739,4.398676237192056,https://ss3.4sqi.net/img/categories_v2/food/thai_,Thai Restaurant
Antwerpen,Arte,51.22081295778817,4.398452234289174,https://ss3.4sqi.net/img/categories_v2/food/italian_,Italian Restaurant
Antwerpen,Vandoag is 't,51.222130622098796,4.411100228622432,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop
Antwerpen,Camino,51.217141819121,4.396581606195229,https://ss3.4sqi.net/img/categories_v2/food/vietnamese_,Vietnamese Restaurant
Antwerpen,Cartoon's ,51.221692709260495,4.398058396803749,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/movietheater_,Indie Movie Theater
Antwerpen,AMUZ,51.21610481207416,4.401909094111822,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/musicvenue_,Concert Hall
Antwerpen,Renaissance,51.21705344918383,4.399606216175914,https://ss3.4sqi.net/img/categories_v2/food/italian_,Italian Restaurant
Antwerpen,Graanmarkt 13,51.21605978679977,4.408858730647504,https://ss3.4sqi.net/img/categories_v2/food/french_,French Restaurant
Antwerpen,Cafématic,51.21514128062792,4.4023102906214735,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop
Antwerpen,Native,51.21707361968364,4.396970422452216,https://ss3.4sqi.net/img/categories_v2/food/default_,Bistro
Antwerpen,Me & My Monkey,51.21763573122324,4.396331308274219,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop
Antwerpen,Mint,51.21678212523068,4.399919305394572,https://ss3.4sqi.net/img/categories_v2/food/default_,Bistro
