ID,Name,Habitants,Index,Acreage,HabitantsPerSquareKm,ProsperityIndex,Province,Latitude,Longitude,BoundingBox,Frans,Nederlands,Duits,Begin,Einde,geojson_name
79,Houthalen-Helchteren,30655,1.379,78.27,392,90.5,Limburg,51.0281818,5.3713044000000005,"['51.000655', '51.1040223', '5.3356206', '5.5221773']",-,Houthalen-Helchteren,-,01.01.1977,31.12.9999,Houthalen-Helchteren
80,Waterloo,30328,947.0,21.03,1442,123.5,Waals-Brabant,50.7153727,4.396367,"['50.6706279', '50.7359165', '4.3549831', '4.4413224']",Waterloo,-,-,01.01.0001,31.12.9999,Waterloo
81,Aarschot,30115,338.0,62.52,482,113.8,Vlaams-Brabant,50.98550925,4.83374800692363,"['50.9581047', '51.0131002', '4.8003955', '4.8706121']",-,Aarschot,-,01.01.0001,31.12.9999,Aarschot
82,Temse,29926,273.0,39.91,750,106.3,Oost-Vlaanderen,51.1421436,4.21335052785252,"['51.1087906', '51.1756294', '4.1772181', '4.2504759']",Tamise,Temse,Temse,01.01.0001,31.12.9999,Temse
83,Aarlen,29858,272.0,118.64,252,116.3,Luxemburg,49.683460100000005,5.8167710999999995,"['49.621915', '49.727234', '5.6790251', '5.9106426']",Arlon,Aarlen,-,01.01.0001,31.12.9999,Arlon
84,Aat,29311,114.0,126.95,231,100.9,Henegouwen,50.6311349,3.7769485,"['50.5624603', '50.6974464', '3.6547134', '3.9133999']",Ath,Aat,-,01.01.0001,31.12.9999,Ath
85,Brecht,29268,795.0,90.84,322,114.1,Antwerpen,51.349558200000004,4.6393435,"['51.2756306', '51.3823487', '4.5407768', '4.7235855']",-,Brecht,-,01.01.0001,31.12.9999,Brecht
86,Aalter*,28906,149.0,119.19,243,117.7,Oost-Vlaanderen,51.083894,3.4485192000000002,"['51.0164634', '51.159877', '3.3312525', '3.5253694']",,,,,,Aalter*
87,Nijvel,28734,277.0,60.6,474,113.5,Waals-Brabant,50.597688500000004,4.323585400000001,"['50.5432244', '50.6352372', '4.2458068', '4.4066525']",Nivelles,Nijvel,-,01.01.0001,31.12.9999,Nivelles
88,Ans,28373,412.0,23.35,1215,90.4,Luik,50.6679862,5.5077543,"['50.6491629', '50.7229088', '5.4610085', '5.5524556']",Ans,-,-,01.01.0001,31.12.9999,Ans
