ID,Name,Habitants,Index,Acreage,HabitantsPerSquareKm,ProsperityIndex,Province,Latitude,Longitude,BoundingBox,Frans,Nederlands,Duits,Begin,Einde,geojson_name
161,Erpe-Mere,19811,206.0,34.03,582,118.3,Oost-Vlaanderen,50.9226391,3.9459888,"['50.873878', '50.9559796', '3.8927333', '4.0112362']",-,Erpe-Mere,-,01.01.1977,31.12.9999,Erpe-Mere
162,Poperinge,19702,97.0,119.33,165,94.2,West-Vlaanderen,50.85257975,2.7124995584724902,"['50.813372', '50.891857', '2.6580541', '2.7826723']",-,Poperinge,-,01.01.0001,31.12.9999,Poperinge
163,Eupen,19677,123.0,103.74,190,98.2,Luik,50.6305665,6.0312717000000005,"['50.5361475', '50.6728715', '6.0006049', '6.2740777']",,,,,,
164,Schilde,19652,950.0,35.99,546,141.6,Antwerpen,51.257095,4.59551821317663,"['51.2197795', '51.2956505', '4.5461346', '4.6331384']",-,Schilde,-,01.01.0001,31.12.9999,Schilde
165,Meise,19411,326.0,34.82,557,132.0,Vlaams-Brabant,50.9341625,4.3287322,"['50.9204116', '51.0043784', '4.2704571', '4.3535204']",-,Meise,-,01.01.0001,31.12.9999,Meise
166,Sint-Gillis-Waas,19370,214.0,54.98,352,109.6,Oost-Vlaanderen,51.2179895,4.1286101,"['51.17543', '51.2928204', '4.0591166', '4.1666333']",-,Sint-Gillis-Waas,-,01.01.0001,31.12.9999,Sint-Gillis#Saint-Gilles-Waas
167,Middelkerke,19336,313.0,75.65,256,103.1,West-Vlaanderen,51.18331695,2.8063401225473,"['51.1643568', '51.202037', '2.7739754', '2.8517612']",-,Middelkerke,-,01.01.0001,31.12.9999,Middelkerke
168,Lebbeke,19321,268.0,26.92,718,108.9,Oost-Vlaanderen,51.0004013,4.1307711000000005,"['50.9670261', '51.0216527', '4.0711185', '4.1689591']",-,Lebbeke,-,01.01.0001,31.12.9999,Lebbeke
169,Jemeppe-sur-Sambre,19190,249.0,46.8,410,94.5,Namen,50.46299585,4.6545986012407194,"['50.4427451', '50.4831042', '4.6333851', '4.677008']",Jemeppe-sur-Sambre,-,-,02.01.1977,31.12.9999,Jemeppe-sur-Sambre
170,Morlanwelz,19065,316.0,20.26,941,86.1,Henegouwen,50.4509843,4.2523562,"['50.4219781', '50.4746818', '4.1970488', '4.2832063']",Morlanwelz,-,-,01.01.2019,31.12.9999,Morlanwelz
171,Zwijndrecht,19056,548.0,17.82,1069,111.3,Antwerpen,51.2185443,4.3302898,"['51.1843653', '51.261869', '4.2902985', '4.3569155']",-,Zwijndrecht,-,01.01.0001,31.12.9999,Zwijndrecht
172,Essen,19038,761.0,47.48,401,100.7,Antwerpen,51.4677957,4.4701309,"['51.4154863', '51.4823977', '4.379317', '4.5481609']",-,Essen,-,01.01.0001,31.12.9999,Essen
173,Diepenbeek,19031,683.0,41.19,462,106.1,Limburg,50.9078485,5.4200307,"['50.874189', '50.9507023', '5.3651311', '5.479089']",-,Diepenbeek,-,01.01.0001,31.12.9999,Diepenbeek
174,Ranst,19008,379.0,43.58,436,119.0,Antwerpen,51.196173200000004,4.563756361400929,"['51.1750533', '51.2174096', '4.5300817', '4.5933207']",-,Ranst,-,01.01.0001,31.12.9999,Ranst
175,Quaregnon,19007,256.0,11.08,1716,75.8,Henegouwen,50.4421804,3.8636970999999996,"['50.4113763', '50.4593221', '3.8284784', '3.8851582']",Quaregnon,-,-,01.01.0001,31.12.9999,Quaregnon
176,Wervik,18767,192.0,43.61,430,92.2,West-Vlaanderen,50.79981455,3.04298823299639,"['50.7697292', '50.8298611', '2.9986621', '3.0969179']",-,Wervik,-,01.01.0001,31.12.9999,Wervik
177,Londerzeel,18749,243.0,36.29,517,119.5,Vlaams-Brabant,51.012246600000005,4.29907294163378,"['50.9840243', '51.0405171', '4.2618683', '4.3334492']",-,Londerzeel,-,01.01.0001,31.12.9999,Londerzeel
178,Stabroek,18710,749.0,21.51,870,114.4,Antwerpen,51.33518735,4.37031201604402,"['51.313495', '51.3567032', '4.3262167', '4.4060693']",-,Stabroek,-,01.01.0001,31.12.9999,Stabroek
179,Lede,18701,229.0,29.69,630,112.7,Oost-Vlaanderen,50.9698619,3.9878757820186097,"['50.9525554', '50.9871703', '3.9451336', '4.0240394']",-,Lede,-,01.01.0001,31.12.9999,Lede
180,Kalmthout,18695,680.0,59.45,314,113.1,Antwerpen,51.3832723,4.4763255,"['51.3524195', '51.4537909', '4.3836601', '4.5354089']",-,Kalmthout,-,01.01.0001,31.12.9999,Kalmthout
181,Lessen,18656,108.0,72.29,258,92.3,Henegouwen,50.712303600000006,3.8301131,"['50.6693987', '50.7516088', '3.745127', '3.9134557']",Lessines,Lessen,,01.01.2019,31.12.9999,Lessines
182,Kasterlee,18655,414.0,71.52,261,113.4,Antwerpen,51.248791499999996,4.989532710760839,"['51.2132485', '51.2846403', '4.9374893', '5.032326']",-,Kasterlee,-,01.01.0001,31.12.9999,Kasterlee
183,Haaltert,18633,205.0,30.3,615,115.5,Oost-Vlaanderen,50.902253200000004,4.0057717,"['50.8585344', '50.9163512', '3.937102', '4.0414805']",-,Haaltert,-,01.01.0001,31.12.9999,Haaltert
184,Tessenderlo,18613,570.0,51.35,362,108.5,Limburg,51.068162799999996,5.0893974,"['51.015482', '51.0854839', '4.9801293', '5.1838792']",-,Tessenderlo,-,01.01.0001,31.12.9999,Tessenderlo
185,Stekene,18445,264.0,44.8,412,105.8,Oost-Vlaanderen,51.2104744,4.02404125321308,"['51.1759752', '51.2456784', '3.9777255', '4.0698835']",-,Stekene,-,01.01.0001,31.12.9999,Stekene
186,Walcourt,18430,167.0,123.18,150,101.2,Namen,50.253202200000004,4.434750900000001,"['50.2159594', '50.3289792', '4.285932', '4.5451613']",Walcourt,-,-,01.01.0001,31.12.9999,Walcourt
187,Sint-Genesius-Rode,18387,654.0,22.77,807,133.8,Vlaams-Brabant,50.74503,4.3463687,"['50.7151041', '50.7733166', '4.3212035', '4.4240096']",Rhode-Saint-Genèse,Sint-Genesius-Rode,-,01.01.0001,31.12.9999,Sint-Genesius-Rode#Rhode-Saint-Genèse
188,Destelbergen,18271,336.0,26.56,688,125.1,Oost-Vlaanderen,51.055620399999995,3.7978887,"['50.993083', '51.0824688', '3.7560727', '3.844474']",-,Destelbergen,-,01.01.0001,31.12.9999,Destelbergen
189,Boom,18244,229.0,7.37,2477,94.8,Antwerpen,51.0873789,4.366721599999999,"['51.080448', '51.1062013', '4.340287', '4.4062338']",-,Boom,-,01.01.0001,31.12.9999,Boom
190,Bredene,18095,721.0,13.08,1384,104.9,West-Vlaanderen,51.23890495,2.97257694682836,"['51.214313', '51.2634033', '2.9409715', '3.0125936']",-,Bredene,-,01.01.0001,31.12.9999,Bredene
191,Beerse,18084,1.297,37.48,482,111.0,Antwerpen,51.313492100000005,4.8375417498248705,"['51.282533', '51.344377', '4.7758656', '4.8959774']",-,Beerse,-,01.01.0001,31.12.9999,Beerse
192,Herzele,18027,164.0,47.4,380,114.7,Oost-Vlaanderen,50.88480429999999,3.8935574,"['50.82172', '50.9181466', '3.8377467', '3.949081']",-,Herzele,-,01.01.0001,31.12.9999,Herzele
193,Komen-Waasten,18271,169.0,61.09,295,82.9,Henegouwen,50.7683055,3.0001175,"['50.6923535', '50.810512', '2.8420347', '3.029316']",Comines-Warneton,Komen-Waasten,,01.01.2019,31.12.9999,Comines-Warneton#Komen-Waasten
194,Wezet,17812,230.0,27.99,636,94.2,Luik,50.734779700000004,5.6936397,"['50.671238', '50.8121222', '5.6482547', '5.724954']",Visé,Wezet,-,01.01.0001,31.12.9999,Visé
195,Fontaine-l'Evêque,17806,330.0,28.41,627,84.4,Henegouwen,50.4117794,4.3246322,"['50.3661232', '50.4472299', '4.290438', '4.3564772']",Fontaine-l'Evêque,-,-,01.01.0001,31.12.9999,Fontaine-l'Evêque
196,Putte,17800,416.0,34.96,509,111.9,Antwerpen,51.0570823,4.6310473,"['51.0172114', '51.0868706', '4.5635107', '4.6892471']",-,Putte,-,01.01.0001,31.12.9999,Putte
197,Herve,17609,139.0,56.84,310,102.8,Luik,50.639211200000005,5.7935245,"['50.5948597', '50.703202', '5.7299908', '5.8609072']",Herve,-,-,01.01.0001,31.12.9999,Herve
198,Duffel,17491,413.0,22.71,770,113.5,Antwerpen,51.0957176,4.5061988,"['51.072574', '51.1169263', '4.4647516', '4.5752018']",-,Duffel,-,01.01.0001,31.12.9999,Duffel
199,Marche-en-Famenne,17465,289.0,121.4,144,91.4,Luxemburg,50.2265147,5.3407365,"['50.157298', '50.2786904', '5.2065336', '5.4722466']",Marche-en-Famenne,-,-,01.01.0001,31.12.9999,Marche-en-Famenne
200,Pont-à-Celles,17371,224.0,55.73,312,105.1,Henegouwen,50.5122563,4.3617367,"['50.4679776', '50.5628838', '4.3073943', '4.4564952']",Pont-à-Celles,-,-,01.01.0001,31.12.9999,Pont-à-Celles
201,Péruwelz,17159,95.0,60.56,283,86.5,Henegouwen,50.509789700000006,3.5908864,"['50.4867209', '50.5800898', '3.4962569', '3.6291618']",Péruwelz,-,-,01.01.0001,31.12.9999,Péruwelz
202,Aubange,17093,433.0,45.6,375,88.6,Luxemburg,49.567195299999995,5.8044993,"['49.5388', '49.6117468', '5.7036732', '5.873255']",Aubange,-,-,01.01.0001,31.12.9999,Aubange
203,Soumagne,16925,321.0,27.14,624,99.3,Luik,50.6147718,5.739941,"['50.5992438', '50.6665238', '5.6891627', '5.76894']",Soumagne,-,-,01.01.0001,31.12.9999,Soumagne
204,Rotselaar,16793,304.0,37.57,447,126.3,Vlaams-Brabant,50.9514713,4.7094054000000005,"['50.928425', '50.9862828', '4.6699517', '4.8033347']",-,Rotselaar,-,01.01.0001,31.12.9999,Rotselaar
205,Riemst,16755,242.0,57.88,289,97.5,Limburg,50.8115825,5.5978715999999995,"['50.7635019', '50.843358', '5.513876', '5.6882251']",-,Riemst,-,01.01.0001,31.12.9999,Riemst
206,Kruibeke,16745,153.0,33.42,501,110.5,Oost-Vlaanderen,51.17625475,4.29814784422281,"['51.15361', '51.1980491', '4.2502472', '4.3295832']",-,Kruibeke,-,01.01.0001,31.12.9999,Kruibeke
207,Diksmuide,16743,86.0,149.4,112,95.1,West-Vlaanderen,51.0333408,2.8647185,"['50.9753127', '51.1161778', '2.7432773', '2.9516269']",Dixmude,Diksmuide,Diksmuide,01.01.0001,31.12.9999,Diksmuide
208,Dour,16644,137.0,33.32,500,82.2,Henegouwen,50.3978815,3.7806897000000004,"['50.3532085', '50.4206167', '3.7250145', '3.8525357']",Dour,-,-,01.01.0001,31.12.9999,Dour
209,Merchtem,16583,257.0,36.72,452,122.0,Vlaams-Brabant,50.9591981,4.2327769,"['50.9089291', '50.9984755', '4.1814947', '4.3018417']",-,Merchtem,-,01.01.0001,31.12.9999,Merchtem
210,Ciney,16580,236.0,147.56,112,96.0,Namen,50.296491100000004,5.1008664,"['50.2084653', '50.3404316', '5.002632', '5.2614722']",Ciney,-,-,01.01.0001,31.12.9999,Ciney
211,Hannuit,16571,150.0,86.53,192,105.5,Luik,50.672464899999994,5.0779916,"['50.5983981', '50.7161471', '4.9871544', '5.1624679']",Hannut,Hannuit,-,01.01.0001,31.12.9999,Hannut
212,Lille,16529,494.0,59.4,278,107.6,Antwerpen,51.238217999999996,4.8242404,"['51.2069507', '51.2989944', '4.7613106', '4.9072917']",-,Lille,-,01.01.0001,31.12.9999,Lille
213,Fléron,16526,476.0,13.72,1204,93.4,Luik,50.6168354,5.6832219,"['50.5900061', '50.6449262', '5.6442254', '5.7162488']",Fléron,-,-,01.01.0001,31.12.9999,Fléron
214,Wemmel,16491,1.2830000000000001,8.74,1886,117.0,Vlaams-Brabant,50.9087716,4.3034586,"['50.8904657', '50.9280881', '4.2778019', '4.3390668']",-,Wemmel,-,01.01.0001,31.12.9999,Wemmel
215,Peer,16357,513.0,86.95,188,98.2,Limburg,51.108740000000004,5.44915721900614,"['51.0549941', '51.1642631', '5.4037811', '5.4957315']",-,Peer,-,01.01.0001,31.12.9999,Peer
216,Éghezée,16337,144.0,102.81,159,109.3,Namen,50.591741600000006,4.9049523,"['50.5259377', '50.6483311', '4.7870322', '4.989895']",,,,,,
217,Laakdal,16101,343.0,42.48,379,105.9,Antwerpen,51.0802695,5.007302200000001,"['51.0348746', '51.115985', '4.9285206', '5.1065125']",-,Laakdal,-,03.01.1977,31.12.9999,Laakdal
218,Bree,16085,387.0,64.96,248,98.6,Limburg,51.1386239,5.6229805058514,"['51.1101977', '51.1669363', '5.5803082', '5.7124915']",-,Bree,-,01.01.0001,31.12.9999,Bree
219,Bastenaken,15985,249.0,172.03,93,91.5,Luxemburg,50.0023192,5.717329299999999,"['49.90779', '50.1161415', '5.6406483', '5.8699093']",Bastogne,Bastenaken,-,01.01.0001,31.12.9999,Bastogne
220,Landen,15951,283.0,54.05,295,111.3,Vlaams-Brabant,50.7530146,5.0813154,"['50.7033512', '50.79479', '4.983916', '5.1214463']",-,Landen,-,01.01.0001,31.12.9999,Landen
221,Beernem,15763,164.0,71.68,220,106.8,West-Vlaanderen,51.12774395,3.31450674987328,"['51.0989049', '51.1567396', '3.2738672', '3.3786036']",-,Beernem,-,01.01.0001,31.12.9999,Beernem
222,Leopoldsburg,15755,448.0,22.49,701,96.7,Limburg,51.1220584,5.26389242947846,"['51.0992093', '51.1471207', '5.2363117', '5.3011152']",Bourg-Léopold,Leopoldsburg,Leopoldsburg,01.01.0001,31.12.9999,Leopoldsburg
223,Ternat,15746,316.0,24.48,643,122.1,Vlaams-Brabant,50.87133920000001,4.1756966,"['50.8407022', '50.8896895', '4.1061103', '4.2067954']",-,Ternat,-,01.01.0001,31.12.9999,Ternat
224,Zulte,15720,232.0,32.52,483,106.9,Oost-Vlaanderen,50.9206638,3.4485632000000006,"['50.8968873', '50.983615', '3.415221', '3.527927']",-,Zulte,-,01.01.0001,31.12.9999,Zulte
225,Kruisem,15641,87.0,70.69,221,,Oost-Vlaanderen,50.908553600000005,3.5648915999999997,"['50.8698154', '50.9530743', '3.4665418', '3.6866619']",,Kruisem,,01.01.2019,31.12.9999,Kruishoutem
226,Malle,15561,657.0,51.99,299,108.7,Antwerpen,51.2970123,4.6933094,"['51.2424772', '51.3268591', '4.633685', '4.7766514']",-,Malle,-,19.10.1979,31.12.9999,Malle
227,Machelen,15469,834.0,11.59,1334,91.5,Vlaams-Brabant,50.9126722,4.432899099999999,"['50.8785447', '50.9243088', '4.4157805', '4.4697297']",,,,,,Machelen
228,Genepiën,15427,154.0,89.57,172,115.1,Waals-Brabant,50.610873299999994,4.4510726,"['50.5540526', '50.658648', '4.3756033', '4.5415674']",Genappe,Genepiën,-,01.01.0001,31.12.9999,Genappe
229,Borgworm,15334,394.0,31.04,494,105.1,Luik,50.6976875,5.2546191,"['50.655556', '50.7290055', '5.2140809', '5.3134629']",Waremme,Borgworm,-,01.01.0001,31.12.9999,Waremme
230,Dison,15248,234.0,14.01,1089,66.4,Luik,50.611374,5.854735,"['50.5967089', '50.6338626', '5.8381869', '5.9142441']",Dison,-,-,01.01.0001,31.12.9999,Dison
231,Rumst,15090,423.0,19.9,758,117.7,Antwerpen,51.079285299999995,4.4240472,"['51.0715932', '51.1190771', '4.3588624', '4.4707218']",-,Rumst,-,01.01.0001,31.12.9999,Rumst
232,Bonheiden,15010,435.0,29.27,513,137.1,Antwerpen,51.0261294,4.53782177790724,"['51.0051311', '51.0468743', '4.5028193', '4.582706']",-,Bonheiden,-,01.01.0001,31.12.9999,Bonheiden
233,Ravels,15009,521.0,94.99,158,96.9,Antwerpen,51.3808625,5.0198122919518395,"['51.3523921', '51.406849', '4.972941', '5.0711657']",-,Ravels,-,01.01.0001,31.12.9999,Ravels
234,Berlare,14958,194.0,37.82,396,109.5,Oost-Vlaanderen,51.0301606,4.01134702971542,"['51.0040288', '51.05606', '3.9769646', '4.04205']",-,Berlare,-,01.01.0001,31.12.9999,Berlare
235,Tremelo,14914,548.0,21.57,691,120.0,Vlaams-Brabant,50.9919047,4.7040582,"['50.9791738', '51.0268379', '4.6528631', '4.7743074']",-,Tremelo,-,01.01.0001,31.12.9999,Tremelo
236,Lummen,14890,347.0,53.38,279,110.2,Limburg,51.00313255,5.20255899987306,"['50.964822', '51.0414409', '5.1301217', '5.2527203']",-,Lummen,-,01.01.0001,31.12.9999,Lummen
237,Brakel,14801,100.0,56.46,262,109.0,Oost-Vlaanderen,50.7979739,3.762778,"['50.7474365', '50.847271', '3.6991717', '3.819923']",-,Brakel,-,15.04.1971,31.12.9999,Brakel
238,Chapelle-lez-Herlaimont,14737,572.0,18.1,814,84.3,Henegouwen,50.4713265,4.280420200000001,"['50.4245633', '50.5070375', '4.2619957', '4.3269076']",Chapelle-lez-Herlaimont,-,-,01.01.0001,31.12.9999,Chapelle-lez-Herlaimont
239,Anzegem,14716,125.0,41.79,352,107.7,West-Vlaanderen,50.8436655,3.4642235652690796,"['50.82165', '50.866138', '3.4263192', '3.5034485']",-,Anzegem,-,01.01.0001,31.12.9999,Anzegem
240,Sprimont,14712,283.0,74.28,198,115.4,Luik,50.5065636,5.646657076291901,"['50.4767818', '50.5364464', '5.583332', '5.7043926']",Sprimont,-,-,01.01.0001,31.12.9999,Sprimont
241,Thuin,14702,161.0,76.17,193,102.3,Henegouwen,50.20822125,4.27206532203534,"['49.9417427', '50.4746818', '4.0273966', '4.4768241']",Thuin,-,-,01.01.0001,31.12.9999,Thuin
242,Haacht,14577,366.0,30.57,477,122.6,Vlaams-Brabant,50.9769286,4.6386824,"['50.9245211', '50.9945445', '4.5856875', '4.6894703']",-,Haacht,-,01.01.0001,31.12.9999,Haacht
243,Lubbeek,14559,315.0,46.13,316,135.8,Vlaams-Brabant,50.881570200000006,4.8416048,"['50.8517102', '50.9117475', '4.7479359', '4.9111331']",-,Lubbeek,-,01.01.0001,31.12.9999,Lubbeek
244,Opwijk,14547,335.0,19.69,739,117.4,Vlaams-Brabant,50.9690529,4.1896665,"['50.9319538', '50.9891228', '4.1429516', '4.2251725']",-,Opwijk,-,01.01.0001,31.12.9999,Opwijk
245,Herselt,14523,322.0,52.32,278,106.5,Antwerpen,51.0554081,4.90180800313541,"['51.0196432', '51.0912324', '4.8282505', '4.9688914']",-,Herselt,-,01.01.0001,31.12.9999,Herselt
246,Buggenhout,14517,280.0,25.25,575,115.3,Oost-Vlaanderen,51.01131005,4.1927963886613195,"['50.9822222', '51.0404007', '4.1540768', '4.23494']",-,Buggenhout,-,01.01.0001,31.12.9999,Buggenhout
247,Amay,14412,262.0,27.61,522,92.7,Luik,50.5497761,5.3240992,"['50.516469', '50.5918202', '5.2620223', '5.3502228']",Amay,-,-,01.01.0001,31.12.9999,Amay
248,Hamont-Achel,14369,699.0,43.66,329,91.8,Limburg,51.2547636,5.512869599999999,"['51.2100574', '51.3001647', '5.4384145', '5.5603452']",-,Hamont-Achel,-,02.01.1977,31.12.9999,Hamont-Achel
249,Aartselaar,14293,949.0,10.93,1308,127.6,Antwerpen,51.133297,4.3870241,"['51.1094962', '51.15104', '4.3537119', '4.40871']",-,Aartselaar,-,01.01.0001,31.12.9999,Aartselaar
250,Wingene,14263,114.0,68.42,208,100.8,West-Vlaanderen,51.06808895,3.2847683081115,"['51.0327853', '51.1044717', '3.2234757', '3.3495959']",-,Wingene,-,01.01.0001,31.12.9999,Wingene
251,Wezembeek-Oppem,14258,1.615,6.82,2091,123.7,Vlaams-Brabant,50.8440554,4.487179599999999,"['50.8259795', '50.8620008', '4.4703927', '4.5173718']",-,Wezembeek-Oppem,-,01.01.0001,31.12.9999,Wezembeek-Oppem
252,Assenede,14256,118.0,87.22,163,108.8,Oost-Vlaanderen,51.227594200000006,3.7532864000000004,"['51.1674323', '51.2808306', '3.6125272', '3.7954734']",-,Assenede,-,01.01.0001,31.12.9999,Assenede
253,Lasne,14244,223.0,47.22,302,145.7,Waals-Brabant,50.6860037,4.4844157,"['50.6439362', '50.7241815', '4.3948548', '4.5263818']",Lasne,-,-,03.01.1977,31.12.9999,Lasne
254,Geldenaken,14123,117.0,73.31,193,108.6,Waals-Brabant,50.724179,4.8679997,"['50.6776686', '50.7734494', '4.7730731', '4.9485635']",Jodoigne,Geldenaken,-,01.01.0001,31.12.9999,Jodoigne
255,Belœil,14068,104.0,61.55,229,91.5,Henegouwen,50.5479197,3.7361279,"['50.481274', '50.5817016', '3.6086135', '3.7604486']",,,,,,
256,Ichtegem,14050,191.0,45.33,310,96.4,West-Vlaanderen,51.08742745,3.02962221299275,"['51.0547128', '51.1201357', '2.9951425', '3.067424']",-,Ichtegem,-,01.01.0001,31.12.9999,Ichtegem
257,Jabbeke,13865,269.0,53.76,258,117.2,West-Vlaanderen,51.1846386,3.0902953889402003,"['51.1633944', '51.2054532', '3.051738', '3.1180954']",-,Jabbeke,-,01.01.0001,31.12.9999,Jabbeke
258,Leuze-en-Hainaut,13850,86.0,73.53,188,94.6,Henegouwen,50.59881970000001,3.6167269999999996,"['50.5478349', '50.6458084', '3.5482372', '3.7137634']",Leuze-en-Hainaut,-,-,02.01.1977,31.12.9999,Leuze-en-Hainaut
259,Edingen,13817,171.0,40.59,340,105.8,Henegouwen,50.6957066,4.0411928,"['50.6307227', '50.713668', '3.9612715', '4.1140971']",Enghien,Edingen,,01.01.2019,31.12.9999,Enghien#Edingen
260,Couvin,13747,141.0,206.93,66,82.6,Namen,50.0524906,4.495500900000001,"['49.9372154', '50.140007', '4.385793', '4.605248']",Couvin,-,-,01.01.0001,31.12.9999,Couvin
261,Wanze,13738,232.0,43.95,313,105.6,Luik,50.533258700000005,5.2166502999999995,"['50.5085754', '50.5825758', '5.1321679', '5.265836']",Wanze,-,-,01.01.0001,31.12.9999,Wanze
262,Kraainem,13730,1.996,5.8,2365,125.1,Vlaams-Brabant,50.860960999999996,4.4662618,"['50.8180288', '50.8671765', '4.4492207', '4.4925914']",-,Kraainem,-,01.01.0001,31.12.9999,Kraainem
263,Graven,13668,199.0,55.44,247,121.7,Waals-Brabant,50.738618200000005,4.6962324,"['50.7007893', '50.7993834', '4.6202141', '4.7502678']",Grez-Doiceau,Graven,-,01.01.0001,31.12.9999,Grez-Doiceau
264,Oud-Turnhout,13662,444.0,38.8,352,114.2,Antwerpen,51.317831899999995,4.981708599999999,"['51.276052', '51.363879', '4.961884', '5.057792']",-,Oud-Turnhout,-,01.01.0001,31.12.9999,Oud-Turnhout
265,Ham-sur-Heure-Nalinnes,13623,240.0,45.68,298,119.5,Henegouwen,50.317162100000004,4.3803219,"['50.2897766', '50.3619523', '4.346604', '4.4768241']",Ham-sur-Heure-Nalinnes,-,-,03.01.1977,31.12.9999,Ham-sur-Heure-Nalinnes
266,Oosterzele,13590,145.0,43.12,315,120.2,Oost-Vlaanderen,50.9513684,3.8213368371428595,"['50.9306806', '50.9721337', '3.7818852', '3.8511351']",-,Oosterzele,-,01.01.0001,31.12.9999,Oosterzele
267,Kuurne,13484,537.0,10.01,1347,100.8,West-Vlaanderen,50.859811799999996,3.2737318624845,"['50.8399463', '50.8798908', '3.2405402', '3.3016043']",-,Kuurne,-,01.01.0001,31.12.9999,Kuurne
268,Dinant,13451,123.0,99.8,135,89.3,Namen,50.2591576,4.9130624,"['50.1802376', '50.3046782', '4.8544268', '5.0481081']",Dinant,-,-,01.01.0001,31.12.9999,Dinant
269,Liedekerke,13295,588.0,10.08,1319,106.3,Vlaams-Brabant,50.871131299999995,4.0860754,"['50.8497196', '50.8888114', '4.0589791', '4.1263279']",-,Liedekerke,-,01.01.0001,31.12.9999,Liedekerke
270,Arendonk,13293,358.0,55.38,240,96.8,Antwerpen,51.3202315,5.0864557,"['51.2914104', '51.3934954', '5.029945', '5.1402503']",-,Arendonk,-,01.01.0001,31.12.9999,Arendonk
271,Blégny,13292,237.0,26.07,510,106.0,Luik,50.6727185,5.7252372000000005,"['50.6378964', '50.7074179', '5.6422621', '5.7751909']",Blégny,-,-,01.01.1977,31.12.9999,Blégny
272,Boechout,13266,504.0,20.66,642,125.8,Antwerpen,51.159694099999996,4.51040686514902,"['51.1295968', '51.1897156', '4.4800058', '4.5392734']",-,Boechout,-,01.01.0001,31.12.9999,Boechout
273,Affligem,13228,289.0,17.7,747,116.1,Vlaams-Brabant,50.9035063,4.1174675,"['50.8832339', '50.9326625', '4.0743031', '4.1504856']",-,Affligem,-,01.01.0001,31.12.9999,Affligem
274,Bocholt,13110,574.0,59.34,221,94.8,Limburg,51.192481799999996,5.59955819462679,"['51.16202', '51.2229166', '5.5336081', '5.659123']",-,Bocholt,-,01.01.0001,31.12.9999,Bocholt
275,Mettet,13102,153.0,116.78,112,97.9,Namen,50.3212094,4.6584949,"['50.2612925', '50.3800531', '4.5823558', '4.7675663']",Mettet,-,-,01.01.0001,31.12.9999,Mettet
276,Zandhoven,13025,410.0,40.1,325,114.6,Antwerpen,51.21479179999999,4.6595103,"['51.1751122', '51.2485333', '4.6225634', '4.7426302']",-,Zandhoven,-,01.01.0001,31.12.9999,Zandhoven
277,Esneux,12917,423.0,34.05,379,118.1,Luik,50.5337249,5.57577274403242,"['50.503307', '50.5638675', '5.4972821', '5.612041']",Esneux,-,-,01.01.0001,31.12.9999,Esneux
278,Wommelgem,12865,860.0,13.01,989,111.5,Antwerpen,51.2031044,4.5238022,"['51.1866211', '51.2229932', '4.4821933', '4.5621361']",-,Wommelgem,-,01.01.0001,31.12.9999,Wommelgem
279,Zelzate,12854,360.0,13.71,938,98.9,Oost-Vlaanderen,51.2000036,3.8105002,"['51.181999', '51.2143278', '3.7650386', '3.8562032']",-,Zelzate,-,01.01.0001,31.12.9999,Zelzate
280,Keerbergen,12850,557.0,18.39,699,148.8,Vlaams-Brabant,51.004924200000005,4.6265551,"['50.9853477', '51.0240321', '4.5985424', '4.7094896']",-,Keerbergen,-,01.01.0001,31.12.9999,Keerbergen
281,Gavere,12805,167.0,31.35,409,118.3,Oost-Vlaanderen,50.929305299999996,3.6671815409707498,"['50.9180103', '50.9405891', '3.6487216', '3.7092987']",-,Gavere,-,01.01.0001,31.12.9999,Gavere
282,Malmedy,12741,158.0,99.96,127,95.2,Luik,50.4265348,6.0276059,"['50.3502602', '50.51904', '5.9695911', '6.1135626']",Malmedy,Malmedy,Malmedy,01.01.0001,31.12.9999,Malmedy
283,Gerpinnes,12716,303.0,47.1,270,114.7,Henegouwen,50.337816600000004,4.527677099999999,"['50.3149205', '50.3792171', '4.457655', '4.5943447']",Gerpinnes,-,-,01.01.0001,31.12.9999,Gerpinnes
284,De Haan,12666,581.0,42.17,300,115.2,West-Vlaanderen,51.275083,3.03169,"['51.219665', '51.3146054', '2.9842936', '3.115249']",-,De Haan,-,01.01.1977,31.12.9999,De Haan
285,Herk-de-Stad,12636,319.0,42.83,295,108.4,Limburg,50.9222911,5.18843018689534,"['50.8924257', '50.9518838', '5.1371713', '5.2299676']",Herck-la-Ville,Herk-de-Stad,Herk-de-Stad,01.01.0001,31.12.9999,Herk-de-Stad
286,Kortemark,12616,114.0,55.0,229,94.7,West-Vlaanderen,51.03139765,3.03747099604352,"['51.0021134', '51.060993', '3.0060565', '3.070081']",-,Kortemark,-,01.01.0001,31.12.9999,Kortemark
287,Rochefort,12611,243.0,165.27,76,89.5,Namen,50.1588503,5.2233447,"['50.0934552', '50.2382715', '5.0553812', '5.2842808']",Rochefort,-,-,01.01.0001,31.12.9999,Rochefort
288,Boortmeerbeek,12516,372.0,18.64,672,130.7,Vlaams-Brabant,50.97828585,4.575800525,"['50.9582185', '50.998401', '4.551298', '4.6128738']",-,Boortmeerbeek,-,01.01.0001,31.12.9999,Boortmeerbeek
289,Olen,12505,678.0,23.17,540,107.6,Antwerpen,51.1438611,4.8597257,"['51.1358304', '51.1966816', '4.8401447', '4.9267343']",-,Olen,-,01.01.0001,31.12.9999,Olen
