City,Venue,Venue Latitude,Venue Longitude,Category Class,Venue Category,class1,class2
Wellen,Bakkerij L'Hoyes,50.84138629744019,5.343214306288571,https://ss3.4sqi.net/img/categories_v2/food/bakery_,Bakery,food,food bakery_
Wellen,Apotheek Hustings,50.83801339062249,5.338758242399208,https://ss3.4sqi.net/img/categories_v2/shops/pharmacy_,Pharmacy,shops,shops pharmacy_
Hamois,la gare d'Hamois,50.34052,5.155809,https://ss3.4sqi.net/img/categories_v2/food/default_,Restaurant,food,food default_
Hamois,Pizza Ronaldo (24h/24),50.339982745993964,5.15559196472168,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza Place,food,food pizza_
Hamois,Pharmacie EPC Familia,50.341170837493785,5.1570838155895915,https://ss3.4sqi.net/img/categories_v2/shops/pharmacy_,Pharmacy,shops,shops pharmacy_
Hamois,Friterie Snack Hamois,50.34159793730269,5.157925576832115,https://ss3.4sqi.net/img/categories_v2/food/fastfood_,Friterie,food,food fastfood_
Hamois,rcs condruzien,50.34450335656922,5.156908961538672,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/stadium_soccer_,Soccer Field,arts_entertainment,arts_entertainment stadium_soccer_
Hamois,Tennis Club NATHAM,50.34286891797932,5.161903481679187,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/stadium_tennis_,Tennis Court,arts_entertainment,arts_entertainment stadium_tennis_
Terhulpen,Le 20 Heures Vin,50.73086806904245,4.486052063575365,https://ss3.4sqi.net/img/categories_v2/food/winery_,Wine Bar,food,food winery_
Terhulpen,Nanoo's,50.73085089247185,4.485829108590284,https://ss3.4sqi.net/img/categories_v2/food/french_,French Restaurant,food,food french_
Terhulpen,Le Solitaire,50.73099526011113,4.4870791704313255,https://ss3.4sqi.net/img/categories_v2/shops/food_cheese_,Cheese Shop,shops,shops food_cheese_
Terhulpen,L'art Gourmand,50.730941473913234,4.488362882961638,https://ss3.4sqi.net/img/categories_v2/food/salad_,Salad Place,food,food salad_
Terhulpen,Les 3 Colonnes,50.73051768350539,4.482991021418148,https://ss3.4sqi.net/img/categories_v2/food/bakery_,Bakery,food,food bakery_
Terhulpen,L'intraitable,50.73082566344959,4.486677895574748,https://ss3.4sqi.net/img/categories_v2/food/deli_,Sandwich Place,food,food deli_
Zutendaal,Zutendalertje,50.93192198125746,5.5724266532552935,https://ss3.4sqi.net/img/categories_v2/food/default_,Food,food,food default_
Zutendaal,Kusadasi,50.93111331040701,5.574139952659607,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza Place,food,food pizza_
Zutendaal,Carrefour market,50.93118571524989,5.572237814070319,https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_,Supermarket,shops,shops food_grocery_
Zutendaal,'t Frituurke theo en maike,50.93124507750473,5.5736027333996825,https://ss3.4sqi.net/img/categories_v2/food/fastfood_,Friterie,food,food fastfood_
Zutendaal,De Klok,50.93138639677228,5.571427833104125,https://ss3.4sqi.net/img/categories_v2/travel/hotel_,Hotel,travel,travel hotel_
Zutendaal,AD Delhaize,50.931178904022,5.572207381993008,https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_,Supermarket,shops,shops food_grocery_
Zutendaal,De Lin,50.93322330402964,5.57440467906746,https://ss3.4sqi.net/img/categories_v2/food/fastfood_,Friterie,food,food fastfood_
Zutendaal,Schoenen Maryse,50.932499172258275,5.572602543533448,https://ss3.4sqi.net/img/categories_v2/shops/apparel_shoestore_,Shoe Store,shops,shops apparel_shoestore_
Zutendaal,Markt Zutendaal,50.93321834745825,5.572788054759731,https://ss3.4sqi.net/img/categories_v2/shops/market_,Market,shops,shops market_
Zutendaal,Hotel The Oak,50.933699663347255,5.576205253601074,https://ss3.4sqi.net/img/categories_v2/travel/bedandbreakfast_,Bed & Breakfast,travel,travel bedandbreakfast_
Zutendaal,Frituur D’Or,50.933178000000005,5.574425,https://ss3.4sqi.net/img/categories_v2/food/fastfood_,Friterie,food,food fastfood_
Zutendaal,Cultureel centrum Zutendaal,50.93326135305115,5.5724141199091,https://ss3.4sqi.net/img/categories_v2/building/default_,Cultural Center,building,building default_
Zutendaal,Bakkerij Baeten,50.93209516367516,5.572810802509631,https://ss3.4sqi.net/img/categories_v2/shops/foodanddrink_,Food & Drink Shop,shops,shops foodanddrink_
Zutendaal,cafetaria cultureel centrum,50.933338,5.572419,https://ss3.4sqi.net/img/categories_v2/education/cafeteria_,Cafeteria,education,education cafeteria_
Zutendaal,Nachtwinkel Herman,50.931138132426966,5.573906611603203,https://ss3.4sqi.net/img/categories_v2/shops/conveniencestore_,Convenience Store,shops,shops conveniencestore_
Zutendaal,Bakkerij Stevens-Vos,50.93093189929282,5.575147826446419,https://ss3.4sqi.net/img/categories_v2/food/bakery_,Bakery,food,food bakery_
Zutendaal,Nulens Brood & Banket,50.93102801625149,5.573977587825817,https://ss3.4sqi.net/img/categories_v2/food/bakery_,Bakery,food,food bakery_
