Frans,Nederlands,Duits,Begin,Einde
Jauche,Geten,-,01.01.0001,01.01.1977
Jauchelette,-,-,01.01.0001,03.01.1977
Jodoigne,Geldenaken,-,01.01.0001,31.12.9999
Jodoigne-Souveraine,Opgeldenaken,-,01.01.0001,03.01.1977
La Hulpe,Terhulpen,-,01.01.0001,31.12.9999
Lasne-Chapelle-St-Lambert,-,-,01.01.0001,03.01.1977
Lathuy,-,-,01.01.0001,03.01.1977
L'Ecluse,Sluizen (Brab.),-,01.01.0001,03.01.1977
Lillois-Witterzée,-,-,01.01.0001,03.01.1977
Limal,-,-,01.01.0001,03.01.1977
Limelette,-,-,01.01.0001,02.01.1977
Linsmeau,Linsmeel,-,01.01.0001,03.01.1977
Longueville,-,-,01.01.0001,01.01.1977
Loupoigne,-,-,01.01.0001,02.01.1977
Malèves-Sainte-Marie-Wastines,-,-,01.01.0001,02.01.1977
Maransart,-,-,01.01.0001,03.01.1977
Marbais,-,-,01.01.0001,01.01.1977
Marilles,-,-,01.01.0001,01.01.1977
Mélin,Malen,-,01.01.0001,03.01.1977
Mellery,-,-,01.01.0001,01.01.1977
Monstreux,-,-,01.01.0001,03.01.1977
Mont-Saint-André,-,-,01.01.0001,02.01.1971
Mont-Saint-Guibert,-,-,01.01.0001,31.12.9999
Neerheylissem,-,-,01.01.0001,03.01.1977
Nethen,-,-,01.01.0001,16.02.1977
Nil-Saint-Vincent-Saint-Martin,-,-,01.01.0001,03.01.1977
Nivelles,Nijvel,-,01.01.0001,31.12.9999
Nodebais,-,-,01.01.0001,03.01.1977
Noduwez,-,-,01.01.0001,01.01.1977
Noville-sur-Méhaigne,-,-,01.01.0001,31.01.1977
Ohain,-,-,01.01.0001,03.01.1977
Oisquercq,Oostkerk,-,01.01.0001,12.03.1971
Ophain-Bois-Seigneur-Isaac,-,-,01.01.0001,03.01.1977
Opheylissem,-,-,01.01.0001,03.01.1977
Opprebais,-,-,01.01.0001,02.01.1977
Orbais,-,-,01.01.0001,02.01.1977
Orp-le-Grand,-,-,01.01.0001,01.01.1977
Ottignies,-,-,01.01.0001,02.01.1977
Perwez,Perwijs,-,01.01.0001,31.12.9999
Piétrain,Petrem,-,01.01.0001,03.01.1977
Piétrebais,-,-,01.01.0001,02.01.1977
Plancenoit,-,-,01.01.0001,03.01.1977
Quenast,-,-,01.01.0001,02.01.1977
Ramillies-Offus,-,-,01.01.0001,02.01.1977
Rebecq-Rognon,Roosbeek,-,01.01.0001,02.01.1977
Rixensart,-,-,01.01.0001,31.12.9999
Rosières,-,-,01.01.0001,02.01.1977
Roux-Miroir,-,-,01.01.0001,02.01.1977
Saint-Géry,-,-,01.01.0001,02.01.1977
Saint-Jean-Geest,Sint-Jans-Geest,-,01.01.0001,03.01.1977
Saint-Remy-Geest,Sint-Remigius-Geest,-,01.01.0001,03.01.1977
Saintes,Sint-Renelde,-,01.01.0001,02.01.1977
Sart-Dames-Avelines,-,-,01.01.0001,01.01.1977
Thines,-,-,01.01.0001,03.01.1977
Thorembais-les-Béguines,-,-,01.01.0001,02.01.1977
Thorembais-Saint-Trond,-,-,01.01.0001,02.01.1977
Tilly,-,-,01.01.0001,01.01.1977
Tourinnes-la-Grosse,Deurne (Tourinnes-la-Grosse),-,01.01.0001,03.01.1977
Tourinnes-Saint-Lambert,-,-,01.01.0001,03.01.1977
Tubize,Tubeke,-,01.01.0001,31.12.9999
Vieux-Genappe,-,-,01.01.0001,02.01.1977
Villers-la-Ville,-,-,01.01.0001,31.12.9999
Virginal-Samme,-,-,01.01.0001,03.01.1977
Walhain-Saint-Paul,-,-,01.01.0001,03.01.1977
Waterloo,-,-,01.01.0001,31.12.9999
Wauthier-Braine,Woutersbrakel,-,01.01.0001,01.01.1977
Wavre,Waver,-,01.01.0001,31.12.9999
Ways,-,-,01.01.0001,02.01.1977
Zétrud-Lumay,Zittert-Lummen,-,01.01.0001,03.01.1977
Dion-Valmont,-,-,27.11.1969,01.01.1977
Gérompont,-,-,02.01.1971,01.01.1977
Chastre,-,-,02.01.1977,31.12.9999
Hélécine,-,-,03.01.1977,31.12.9999
Lasne,-,-,03.01.1977,31.12.9999
Orp-Jauche,-,-,01.01.1977,31.12.9999
Ottignies-Louvain-la-Neuve,-,-,02.01.1977,31.12.9999
Ramillies,-,-,02.01.1977,31.12.9999
Rebecq,-,-,02.01.1977,31.12.9999
Walhain,-,-,03.01.1977,31.12.9999
Pr.Fl.Occidentale,Pr.West-Vlaanderen,Pr.Westflandern,01.01.0001,31.12.9999
-,Aartrijke,-,01.01.0001,03.01.1977
-,Assebroek,-,01.01.0001,01.01.1971
-,Beernem,-,01.01.0001,31.12.9999
-,Blankenberge,-,01.01.0001,31.12.9999
Bruges,Brugge,Brügge,01.01.0001,31.12.9999
-,Damme,-,01.01.0001,31.12.9999
-,Dudzele,-,01.01.0001,01.01.1971
-,Heist,-,01.01.0001,19.03.1971
-,Hertsberge,-,01.01.0001,01.01.1977
-,Hoeke,-,01.01.0001,01.01.1971
-,Houtave,-,01.01.0001,01.01.1977
-,Jabbeke,-,01.01.0001,31.12.9999
-,Knokke,-,01.01.0001,19.03.1971
-,Koolkerke,-,01.01.0001,01.01.1971
-,Lapscheure,-,01.01.0001,01.01.1971
-,Lissewege,-,01.01.0001,01.01.1971
-,Loppem,-,01.01.0001,03.01.1977
-,Meetkerke,-,01.01.0001,01.01.1977
-,Moerkerke,-,01.01.0001,01.01.1977
-,Nieuwmunster,-,01.01.0001,01.01.1977
-,Oedelem,-,01.01.0001,01.01.1977
-,Oostkamp,-,01.01.0001,31.12.9999
-,Oostkerke,-,01.01.0001,01.01.1977
-,Ramskapelle,-,01.01.0001,19.03.1971
-,Ruddervoorde,-,01.01.0001,01.01.1977
-,Sijsele,-,01.01.0001,01.01.1977
-,Sint-Andries,-,01.01.0001,01.01.1971
-,Sint-Joris (bij Brugge),-,01.01.0001,01.01.1977
-,Sint-Kruis,-,01.01.0001,01.01.1971
-,Sint-Michiels,-,01.01.0001,01.01.1971
-,Snellegem,-,01.01.0001,02.01.1977
-,Stalhille,-,01.01.0001,02.01.1977
-,Torhout,-,01.01.0001,31.12.9999
-,Uitkerke,-,01.01.0001,01.01.1971
-,Varsenare,-,01.01.0001,02.01.1977
-,Veldegem,-,01.01.0001,03.01.1977
-,Waardamme,-,01.01.0001,01.01.1977
-,Wenduine,-,01.01.0001,01.01.1977
-,Westkapelle,-,01.01.0001,19.03.1971
-,Zedelgem,-,01.01.0001,31.12.9999
-,Zerkegem,-,01.01.0001,02.01.1977
-,Zuienkerke,-,01.01.0001,31.12.9999
-,Knokke-Heist,-,01.01.0001,31.12.9999
Bruges(district 2),Brugge(district 2),Brugge(Distrikt 2),01.01.0001,31.12.9999
-,Sint-Pieters-op-de-Dijk,-,01.01.0001,01.01.1900
-,Beerst,-,01.01.0001,27.04.1977
-,Bovekerke,-,01.01.0001,01.01.1971
Dixmude,Diksmuide,Diksmuide,01.01.0001,31.12.9999
-,Esen,-,01.01.0001,04.01.1965
-,Handzame,-,01.01.0001,01.01.1977
-,Houthulst,-,01.01.0001,31.12.9999
-,Kaaskerke,-,01.01.0001,04.01.1965
-,Keiem,-,01.01.0001,02.01.1971
-,Klerken,-,01.01.0001,08.06.1977
-,Koekelare,-,01.01.0001,31.12.9999
-,Kortemark,-,01.01.0001,31.12.9999
-,Lampernisse,-,01.01.0001,02.01.1971
-,Leke,-,01.01.0001,27.04.1977
-,Lo,-,01.01.0001,23.02.1977
-,Merkem,-,01.01.0001,08.06.1977
-,Nieuwkapelle,-,01.01.0001,01.01.1971
-,Noordschote,-,01.01.0001,02.01.1971
-,Oostkerke (bij-Diksmuide),-,01.01.0001,02.01.1971
-,Oudekapelle,-,01.01.0001,01.01.1971
-,Pollinkhove,-,01.01.0001,02.01.1971
-,Reninge,-,01.01.0001,23.02.1977
-,Sint-Jacobs-Kapelle,-,01.01.0001,01.01.1971
-,Stuivekenskerke,-,01.01.0001,02.01.1971
-,Vladslo,-,01.01.0001,27.04.1977
-,Werken,-,01.01.0001,02.01.1971
-,Woumen,-,01.01.0001,08.06.1977
-,Zarren,-,01.01.0001,02.01.1971
-,Driekapellen,-,01.01.1971,27.04.1977
-,Zarren-Werken,-,02.01.1971,01.01.1977
-,Lo-Reninge,-,23.02.1977,31.12.9999
-,Beselare,-,01.01.0001,02.01.1977
-,Bikschote,-,01.01.0001,28.01.1971
-,Boezinge,-,01.01.0001,02.01.1977
-,Brielen,-,01.01.0001,01.01.1971
-,Dikkebus,-,01.01.0001,02.01.1977
-,Dranouter,-,01.01.0001,01.01.1977
-,Elverdinge,-,01.01.0001,02.01.1977
-,Geluveld,-,01.01.0001,02.01.1977
-,Geluwe,-,01.01.0001,01.01.1977
-,Hollebeke,-,01.01.0001,01.01.1971
Ypres,Ieper,Ieper,01.01.0001,31.12.9999
-,Kemmel,-,01.01.0001,01.01.1977
-,Krombeke,-,01.01.0001,02.01.1971
-,Langemark,-,01.01.0001,01.01.1977
-,Loker,-,01.01.0001,01.01.1977
Messines,Mesen,-,01.01.0001,31.12.9999
Neuve-Eglise,Nieuwkerke,Nieuwkerke,01.01.0001,01.01.1977
-,Oostvleteren,-,01.01.0001,01.01.1977
-,Passendale,-,01.01.0001,02.01.1977
-,Poelkapelle,-,01.01.0001,01.01.1977
-,Poperinge,-,01.01.0001,31.12.9999
-,Proven,-,01.01.0001,01.01.1977
-,Reningelst,-,01.01.0001,01.01.1977
-,Roesbrugge-Haringe,-,01.01.0001,01.01.1977
-,Sint-Jan,-,01.01.0001,01.01.1971
-,Vlamertinge,-,01.01.0001,02.01.1977
-,Voormezele,-,01.01.0001,01.01.1971
-,Watou,-,01.01.0001,01.01.1977
-,Wervik,-,01.01.0001,31.12.9999
-,Westouter,-,01.01.0001,01.01.1977
-,Westvleteren,-,01.01.0001,01.01.1977
-,Wijtschate,-,01.01.0001,01.01.1977
-,Woesten,-,01.01.0001,01.01.1977
-,Wulvergem,-,01.01.0001,01.01.1977
-,Zandvoorde(Zonnebeke),-,01.01.0001,01.01.1971
-,Zillebeke,-,01.01.0001,02.01.1977
-,Zonnebeke,-,01.01.0001,31.12.9999
-,Zuidschote,-,01.01.0001,01.01.1971
-,Heuvelland,-,01.01.1977,31.12.9999
-,Langemark-Poelkapelle,-,01.01.1977,31.12.9999
-,Vleteren,-,01.01.1977,31.12.9999
-,Aalbeke,-,01.01.0001,02.01.1977
-,Anzegem,-,01.01.0001,31.12.9999
-,Avelgem,-,01.01.0001,31.12.9999
-,Bavikhove,-,01.01.0001,02.01.1977
-,Bellegem,-,01.01.0001,02.01.1977
-,Beveren (Leie),-,01.01.0001,31.03.1977
-,Bissegem,-,01.01.0001,02.01.1977
-,Bossuit,-,01.01.0001,03.01.1977
-,Deerlijk,-,01.01.0001,31.12.9999
-,Desselgem,-,01.01.0001,31.03.1977
-,Gijzelbrechtegem,-,01.01.0001,25.01.1971
-,Gullegem,-,01.01.0001,02.01.1977
-,Harelbeke,-,01.01.0001,31.12.9999
-,Heestert,-,01.01.0001,02.01.1977
Helchin,Helkijn,-,01.01.0001,03.01.1977
-,Heule,-,01.01.0001,02.01.1977
-,Hulste,-,01.01.0001,02.01.1977
-,Ingooigem,-,01.01.0001,03.01.1977
-,Kaster,-,01.01.0001,03.01.1977
-,Kerkhove,-,01.01.0001,03.01.1977
-,Kooigem,-,01.01.0001,02.01.1977
Courtrai,Kortrijk,Kortrijk,01.01.0001,31.12.9999
-,Kuurne,-,01.01.0001,31.12.9999
-,Lauwe,-,01.01.0001,02.01.1977
-,Lendelede,-,01.01.0001,31.12.9999
-,Marke,-,01.01.0001,02.01.1977
Menin,Menen,Menen,01.01.0001,31.12.9999
-,Moen,-,01.01.0001,02.01.1977
-,Moorsele,-,01.01.0001,02.01.1977
-,Otegem,-,01.01.0001,02.01.1977
-,Outrijve,-,01.01.0001,03.01.1977
-,Rekkem,-,01.01.0001,02.01.1977
-,Rollegem,-,01.01.0001,02.01.1977
-,Sint-Denijs,-,01.01.0001,02.01.1977
-,Sint-Eloois-Vijve,-,01.01.0001,31.03.1977
Espierres,Spiere,-,01.01.0001,03.01.1977
-,Tiegem,-,01.01.0001,03.01.1977
-,Vichte,-,01.01.0001,03.01.1977
-,Waarmaarde,-,01.01.0001,03.01.1977
-,Waregem,-,01.01.0001,31.12.9999
-,Wevelgem,-,01.01.0001,31.12.9999
-,Zwevegem,-,01.01.0001,31.12.9999
Espierres-Helchin,Spiere-Helkijn,-,03.01.1977,31.12.9999
-,Bekegem,-,01.01.0001,02.01.1977
-,Bredene,-,01.01.0001,31.12.9999
-,Eernegem,-,01.01.0001,02.01.1977
-,Ettelgem,-,01.01.0001,03.01.1977
-,Gistel,-,01.01.0001,31.12.9999
-,Ichtegem,-,01.01.0001,31.12.9999
-,Klemskerke,-,01.01.0001,01.01.1977
-,Leffinge,-,01.01.0001,03.01.1977
-,Lombardsijde,-,01.01.0001,02.01.1971
-,Mannekensvere,-,01.01.0001,01.01.1971
-,Middelkerke,-,01.01.0001,31.12.9999
-,Moere,-,01.01.0001,01.01.1971
Ostende,Oostende,Oostende,01.01.0001,31.12.9999
-,Oudenburg,-,01.01.0001,31.12.9999
-,Roksem,-,01.01.0001,03.01.1977
-,Schore,-,01.01.0001,01.01.1971
Saint-Pierre-Capelle,Sint-Pieters-Kapelle (Vl.),Sint-Pieters-Kapelle(Vl.),01.01.0001,01.01.1971
-,Slijpe,-,01.01.0001,01.01.1971
-,Snaaskerke,-,01.01.0001,01.01.1977
-,Stene,-,01.01.0001,01.01.1971
-,Vlissegem,-,01.01.0001,01.01.1977
-,Westende,-,01.01.0001,03.01.1977
-,Westkerke,-,01.01.0001,03.01.1977
-,Wilskerke,-,01.01.0001,03.01.1977
-,Zande,-,01.01.0001,01.01.1971
-,Zandvoorde(Oostende),-,01.01.0001,01.01.1971
-,Zevekote,-,01.01.0001,01.01.1971
-,Spermalie,-,01.01.1971,01.01.1977
-,De Haan,-,01.01.1977,31.12.9999
-,Mariakerke,-,01.01.0001,01.01.1900
-,Ardooie,-,01.01.0001,01.01.1977
-,Beveren,-,01.01.0001,25.01.1965
-,Dadizele,-,01.01.0001,01.01.1977
-,Emelgem,-,01.01.0001,04.01.1965
-,Gits,-,01.01.0001,10.03.1977
-,Hooglede,-,01.01.0001,31.12.9999
-,Ingelmunster,-,01.01.0001,31.12.9999
-,Izegem,-,01.01.0001,31.12.9999
-,Kachtem,-,01.01.0001,03.01.1977
-,Ledegem,-,01.01.0001,31.12.9999
-,Lichtervelde,-,01.01.0001,31.12.9999
-,Moorslede,-,01.01.0001,31.12.9999
-,Oekene,-,01.01.0001,03.01.1977
-,Oostnieuwkerke,-,01.01.0001,03.01.1977
Roulers,Roeselare,Roeselare,01.01.0001,31.12.9999
-,Rollegem-Kapelle,-,01.01.0001,01.01.1977
-,Rumbeke,-,01.01.0001,03.01.1977
-,Sint-Eloois-Winkel,-,01.01.0001,01.01.1977
-,Staden,-,01.01.0001,31.12.9999
-,Westrozebeke,-,01.01.0001,03.01.1977
-,Aarsele,-,01.01.0001,01.01.1977
-,Dentergem,-,01.01.0001,31.12.9999
-,Egem,-,01.01.0001,01.01.1977
-,Kanegem,-,01.01.0001,01.01.1977
-,Koolskamp,-,01.01.0001,01.01.1977
-,Markegem,-,01.01.0001,02.01.1977
-,Meulebeke,-,01.01.0001,31.12.9999
-,Oeselgem,-,01.01.0001,02.01.1977
-,Ooigem,-,01.01.0001,02.01.1977
-,Oostrozebeke,-,01.01.0001,31.12.9999
-,Pittem,-,01.01.0001,31.12.9999
-,Ruiselede,-,01.01.0001,31.12.9999
-,Schuiferskapelle,-,01.01.0001,01.01.1977
-,Sint-Baafs-Vijve,-,01.01.0001,02.01.1977
-,Tielt,-,01.01.0001,31.12.9999
-,Wakken,-,01.01.0001,02.01.1977
-,Wielsbeke,-,01.01.0001,31.12.9999
-,Wingene,-,01.01.0001,31.12.9999
-,Zwevezele,-,01.01.0001,01.01.1977
-,Ardooie,-,01.01.1977,31.12.9999
-,Adinkerke,-,01.01.0001,03.01.1977
-,Alveringem,-,01.01.0001,31.12.9999
-,Avekapelle,-,01.01.0001,17.04.1971
-,Beveren (Yzer),-,01.01.0001,04.01.1971
-,Booitshoeke,-,01.01.0001,17.04.1971
-,Bulskamp,-,01.01.0001,17.04.1971
-,De Moeren,-,01.01.0001,14.01.1971
La Panne,De Panne,De Panne,01.01.0001,31.12.9999
-,Eggewaartskapelle,-,01.01.0001,17.04.1971
-,Gijverinkhove,-,01.01.0001,16.02.1971
-,Hoogstade,-,01.01.0001,01.01.1971
-,Houtem,-,01.01.0001,03.01.1977
-,Izenberge,-,01.01.0001,16.02.1971
-,Koksijde,-,01.01.0001,31.12.9999
-,Leisele,-,01.01.0001,01.01.1977
Nieuport,Nieuwpoort,Nieuwpoort,01.01.0001,31.12.9999
-,Oeren,-,01.01.0001,01.01.1971
-,Oostduinkerke,-,01.01.0001,30.09.1977
-,Pervijze,-,01.01.0001,27.04.1977
-,Ramskapelle (bij-Nieuwpoort),-,01.01.0001,01.01.1971
-,Sint-Joris (bij-Nieuwpoort),-,01.01.0001,01.01.1971
-,Sint-Rijkers,-,01.01.0001,01.01.1971
-,Stavele,-,01.01.0001,01.01.1977
-,Steenkerke (Vl.),-,01.01.0001,17.04.1971
Furnes,Veurne,Veurne,01.01.0001,31.12.9999
-,Vinkem,-,01.01.0001,01.01.1971
-,Wulpen,-,01.01.0001,09.01.1971
-,Wulveringem,-,01.01.0001,01.01.1971
-,Zoutenaaie,-,01.01.0001,17.04.1971
-,Beauvoorde,-,01.01.1971,03.01.1977
Pr.Fl.Orientale,Pr.Oost-Vlaanderen,Pr.Ostflandern,01.01.0001,31.12.9999
-,Aaigem,-,01.01.0001,01.01.1977
Alost,Aalst,Aalst,01.01.0001,31.12.9999
-,Appelterre-Eichem,-,01.01.0001,01.01.1977
-,Aspelare,-,01.01.0001,01.01.1977
-,Baardegem,-,01.01.0001,01.01.1977
-,Bambrugge,-,01.01.0001,01.01.1977
-,Bavegem,-,01.01.0001,22.04.1977
-,Borsbeke,-,01.01.0001,02.02.1977
-,Burst,-,01.01.0001,01.01.1977
-,Denderhoutem,-,01.01.0001,01.01.1977
-,Denderleeuw,-,01.01.0001,31.12.9999
-,Denderwindeke,-,01.01.0001,01.01.1977
-,Elene,-,01.01.0001,01.01.1971
-,Erembodegem,-,01.01.0001,01.01.1977
-,Erondegem,-,01.01.0001,01.01.1977
-,Erpe,-,01.01.0001,01.01.1977
-,Erwetegem,-,01.01.0001,01.01.1971
Grammont,Geraardsbergen,Geraardsbergen,01.01.0001,31.12.9999
-,Gijzegem,-,01.01.0001,01.01.1977
-,Godveerdegem,-,01.01.0001,01.01.1971
-,Goeferdinge,-,01.01.0001,01.01.1971
-,Grimminge,-,01.01.0001,22.03.1977
-,Grotenberge,-,01.01.0001,01.01.1971
-,Haaltert,-,01.01.0001,31.12.9999
-,Heldergem,-,01.01.0001,01.01.1977
-,Herdersem,-,01.01.0001,01.01.1977
-,Herzele,-,01.01.0001,31.12.9999
-,Hillegem,-,01.01.0001,02.02.1977
-,Hofstade (Vl.),-,01.01.0001,01.01.1977
-,Iddergem,-,01.01.0001,03.01.1977
-,Idegem,-,01.01.0001,22.03.1977
-,Impe,-,01.01.0001,01.01.1977
-,Kerksken,-,01.01.0001,01.01.1977
-,Lede,-,01.01.0001,31.12.9999
-,Leeuwergem,-,01.01.0001,01.01.1971
-,Letterhoutem,-,01.01.0001,22.04.1977
-,Lieferinge,-,01.01.0001,01.01.1977
-,Meerbeke,-,01.01.0001,01.01.1977
-,Meldert (Vl.),-,01.01.0001,01.01.1977
-,Mere,-,01.01.0001,01.01.1977
-,Moerbeke,-,01.01.0001,22.03.1977
-,Moorsel,-,01.01.0001,01.01.1977
-,Nederboelare,-,01.01.0001,01.01.1971
-,Nederhasselt,-,01.01.0001,01.01.1977
-,Neigem,-,01.01.0001,01.01.1977
-,Nieuwenhove,-,01.01.0001,22.03.1977
-,Nieuwerkerken (Aalst),-,01.01.0001,01.01.1977
-,Ninove,-,01.01.0001,31.12.9999
-,Okegem,-,01.01.0001,01.01.1977
-,Onkerzele,-,01.01.0001,01.01.1971
-,Oombergen,-,01.01.0001,22.04.1977
-,Oordegem,-,01.01.0001,01.01.1977
-,Ophasselt,-,01.01.0001,22.03.1977
-,Ottergem,-,01.01.0001,01.01.1977
-,Outer,-,01.01.0001,01.01.1977
-,Overboelare,-,01.01.0001,01.01.1971
-,Pollare,-,01.01.0001,01.01.1977
-,Ressegem,-,01.01.0001,02.02.1977
-,Schendelbeke,-,01.01.0001,22.03.1977
-,Sint-Antelinks,-,01.01.0001,02.02.1977
-,Sint-Goriks-Oudenhove,-,01.01.0001,01.01.1971
-,Sint-Lievens-Esse,-,01.01.0001,02.02.1977
-,Sint-Lievens-Houtem,-,01.01.0001,31.12.9999
-,Sint-Maria-Oudenhove,-,01.01.0001,17.11.1977
-,Smeerebbe-Vloerzegem,-,01.01.0001,22.03.1977
-,Smetlede,-,01.01.0001,01.01.1977
-,Steenhuize-Wijnhuize,-,01.01.0001,02.02.1977
-,Strijpen,-,01.01.0001,01.01.1971
-,Velzeke-Ruddershove,-,01.01.0001,01.01.1971
-,Viane,-,01.01.0001,22.03.1977
-,Vlekkem,-,01.01.0001,01.01.1977
-,Vlierzele,-,01.01.0001,22.04.1977
-,Voorde,-,01.01.0001,01.01.1977
-,Waarbeke,-,01.01.0001,22.03.1977
-,Wanzele,-,01.01.0001,01.01.1977
-,Welle,-,01.01.0001,03.01.1977
-,Woubrechtegem,-,01.01.0001,02.02.1977
-,Zandbergen,-,01.01.0001,22.03.1977
-,Zarlardinge,-,01.01.0001,22.03.1977
-,Zonnegem,-,01.01.0001,22.04.1977
-,Zottegem,-,01.01.0001,31.12.9999
-,Erpe-Mere,-,01.01.1977,31.12.9999
-,Appels,-,01.01.0001,20.04.1972
-,Baasrode,-,01.01.0001,01.01.1977
-,Berlare,-,01.01.0001,31.12.9999
-,Buggenhout,-,01.01.0001,31.12.9999
-,Denderbelle,-,01.01.0001,23.02.1977
Termonde,Dendermonde,Dendermonde,01.01.0001,31.12.9999
-,Grembergen,-,01.01.0001,01.01.1977
-,Hamme (Vl.),-,01.01.0001,31.12.9999
-,Kalken,-,01.01.0001,01.01.1977
-,Laarne,-,01.01.0001,31.12.9999
-,Lebbeke,-,01.01.0001,31.12.9999
-,Massemen,-,01.01.0001,01.01.1977
-,Mespelare,-,01.01.0001,01.01.1977
-,Moerzeke,-,01.01.0001,01.01.1977
-,Opdorp,-,01.01.0001,02.01.1965
-,Oudegem,-,01.01.0001,01.01.1977
-,Overmere,-,01.01.0001,02.01.1977
-,Schellebelle,-,01.01.0001,01.01.1977
-,Schoonaarde,-,01.01.0001,01.01.1977
-,Serskamp,-,01.01.0001,01.01.1977
-,Sint-Gillis-bij-Dendermonde,-,01.01.0001,20.04.1972
-,Uitbergen,-,01.01.0001,02.01.1977
-,Waasmunster,-,01.01.0001,31.12.9999
-,Westrem,-,01.01.0001,01.01.1977
-,Wetteren,-,01.01.0001,31.12.9999
-,Wichelen,-,01.01.0001,31.12.9999
-,Wieze,-,01.01.0001,23.02.1977
-,Zele,-,01.01.0001,31.12.9999
-,Adegem,-,01.01.0001,02.03.1977
-,Assenede,-,01.01.0001,31.12.9999
-,Bassevelde,-,01.01.0001,19.04.1977
-,Boekhoute,-,01.01.0001,19.04.1977
-,Eeklo,-,01.01.0001,31.12.9999
-,Ertvelde,-,01.01.0001,01.01.1977
-,Kaprijke,-,01.01.0001,31.12.9999
-,Kluizen,-,01.01.0001,23.04.1965
-,Lembeke,-,01.01.0001,01.01.1977
-,Maldegem,-,01.01.0001,31.12.9999
-,Middelburg,-,01.01.0001,01.01.1977
-,Oosteeklo,-,01.01.0001,19.04.1977
-,Sint-Jan-in-Eremo,-,01.01.0001,03.01.1977
-,Sint-Laureins,-,01.01.0001,31.12.9999
-,Sint-Margriete,-,01.01.0001,03.01.1977
-,Waterland-Oudeman,-,01.01.0001,03.01.1977
-,Watervliet,-,01.01.0001,03.01.1977
-,Zelzate,-,01.01.0001,31.12.9999
-,Aalter,-,01.01.0001,31.12.2018
-,Afsnee,-,01.01.0001,01.01.1977
-,Asper,-,01.01.0001,02.01.1977
-,Astene,-,01.01.0001,04.03.1971
-,Baaigem,-,01.01.0001,02.01.1977
-,Bachte-Maria-Leerne,-,01.01.0001,01.01.1977
-,Balegem,-,01.01.0001,02.01.1977
-,Beervelde,-,01.01.0001,02.01.1977
-,Bellem,-,01.01.0001,01.01.1977
-,Bottelare,-,01.01.0001,02.04.1977
-,Deinze,-,01.01.0001,31.12.2018
-,De Pinte,-,01.01.0001,31.12.9999
-,Destelbergen,-,01.01.0001,31.12.9999
-,Desteldonk,-,01.01.0001,23.01.1965
-,Deurle,-,01.01.0001,01.01.1977
-,Dikkelvenne,-,01.01.0001,02.01.1977
Tronchiennes,Drongen,Drongen,01.01.0001,01.01.1977
-,Eke,-,01.01.0001,01.01.1977
-,Evergem,-,01.01.0001,31.12.9999
-,Gavere,-,01.01.0001,31.12.9999
Gand,Gent,Gent,01.01.0001,31.12.9999
-,Gentbrugge,-,01.01.0001,01.01.1977
-,Gijzenzele,-,01.01.0001,02.01.1977
-,Gontrode,-,01.01.0001,02.01.1977
-,Gottem,-,01.01.0001,01.01.1977
-,Grammene,-,01.01.0001,01.01.1977
-,Hansbeke,-,01.01.0001,01.01.1977
-,Heusden (Vl.),-,01.01.0001,03.01.1977
-,Knesselare,-,01.01.0001,31.12.2018
-,Landegem,-,01.01.0001,01.01.1977
-,Landskouter,-,01.01.0001,02.01.1977
-,Ledeberg,-,01.01.0001,01.01.1977
-,Lemberge,-,01.01.0001,22.01.1965
-,Lochristi,-,01.01.0001,31.12.9999
-,Lotenhulle,-,01.01.0001,01.01.1977
-,Lovendegem,-,01.01.0001,31.12.2018
-,Machelen (Vl.),-,01.01.0001,02.01.1977
-,Mariakerke,-,01.01.0001,01.01.1977
-,Meigem,-,01.01.0001,01.01.1977
-,Melle,-,01.01.0001,31.12.9999
-,Melsen,-,01.01.0001,02.04.1977
-,Mendonk,-,01.01.0001,23.01.1965
-,Merelbeke,-,01.01.0001,31.12.9999
-,Merendree,-,01.01.0001,01.01.1977
-,Moerbeke (Waas),-,01.01.0001,31.12.9999
-,Moortsele,-,01.01.0001,02.01.1977
-,Munte,-,01.01.0001,02.04.1977
-,Nazareth,-,01.01.0001,31.12.9999
-,Nevele,-,01.01.0001,31.12.2018
-,Olsene,-,01.01.0001,02.01.1977
-,Oostakker,-,01.01.0001,01.01.1977
-,Oosterzele,-,01.01.0001,31.12.9999
-,Oostwinkel,-,01.01.0001,01.01.1977
-,Petegem-aan-de-Leie,-,01.01.0001,04.03.1971
-,Poeke,-,01.01.0001,01.01.1977
-,Poesele,-,01.01.0001,01.01.1977
-,Ronsele,-,01.01.0001,01.01.1977
-,Schelderode,-,01.01.0001,02.04.1977
-,Scheldewindeke,-,01.01.0001,02.01.1977
-,Semmerzake,-,01.01.0001,02.01.1977
-,Sint-Amandsberg,-,01.01.0001,01.01.1977
-,Sint-Denijs-Westrem,-,01.01.0001,01.01.1977
-,Sint-Kruis-Winkel,-,01.01.0001,23.01.1965
-,Sint-Martens-Latem,-,01.01.0001,31.12.9999
-,Sint-Martens-Leerne,-,01.01.0001,01.01.1977
-,Sleidinge,-,01.01.0001,01.01.1977
-,Ursel,-,01.01.0001,11.02.1977
-,Vinderhoute,-,01.01.0001,01.01.1977
-,Vinkt,-,01.01.0001,01.01.1977
-,Vosselare,-,01.01.0001,01.01.1977
-,Vurste,-,01.01.0001,02.01.1977
-,Waarschoot,-,01.01.0001,31.12.2018
