City,Venue,Venue Latitude,Venue Longitude,Category Class,Venue Category,class1,class2,Cluster Labels
Antwerpen,Moochie Frozen Yoghurt,51.220036,4.40285,https://ss3.4sqi.net/img/categories_v2/food/frozenyogurt_,Frozen Yogurt Shop,food,food frozenyogurt_,3
Antwerpen,Dogma Cocktails,51.221146478437994,4.402854277962921,https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_,Cocktail Bar,nightlife,nightlife cocktails_,3
Antwerpen,Absinthbar,51.21991194837575,4.4007093204355785,https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_,Cocktail Bar,nightlife,nightlife cocktails_,3
Antwerpen,Pitten en Bonen,51.21765743709457,4.402711864292249,https://ss3.4sqi.net/img/categories_v2/food/juicebar_,Juice Bar,food,food juicebar_,3
Antwerpen,Kartini Indonesisch Restaurant,51.21926971612047,4.400557207871248,https://ss3.4sqi.net/img/categories_v2/food/indonesian_,Indonesian Restaurant,food,food indonesian_,3
Antwerpen,Hunkemöller,51.218611311414854,4.4055309891700745,https://ss3.4sqi.net/img/categories_v2/shops/apparel_lingerie_,Lingerie Store,shops,shops apparel_lingerie_,3
Antwerpen,Brasserie Appelmans,51.21987928424813,4.4007168480699015,https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_,Cocktail Bar,nightlife,nightlife cocktails_,3
Antwerpen,Quetzal,51.22062503522125,4.402132028711696,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,food,food coffeeshop_,3
Antwerpen,Maison Tartine,51.22170300000001,4.404996400000001,https://ss3.4sqi.net/img/categories_v2/food/deli_,Sandwich Place,food,food deli_,3
Antwerpen,Bia Mara,51.22089411711053,4.400188694999644,https://ss3.4sqi.net/img/categories_v2/food/fishandchips_,Fish & Chips Shop,food,food fishandchips_,3
Antwerpen,Billie's Bier Kafétaria,51.218431696680476,4.4003414039139095,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,Beer Bar,nightlife,nightlife pub_,3
Antwerpen,Zaowang,51.220292299690286,4.399673791094059,https://ss3.4sqi.net/img/categories_v2/food/sushi_,Sushi Restaurant,food,food sushi_,3
Antwerpen,Hendrik Consienceplein,51.22103608246193,4.40418010790557,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/plaza_,Plaza,parks_outdoors,parks_outdoors plaza_,3
Antwerpen,Onze-Lieve-Vrouwekathedraal,51.220506249584176,4.400110412807259,https://ss3.4sqi.net/img/categories_v2/building/religious_church_,Church,building,building religious_church_,3
Antwerpen,Jūttu,51.21836883799618,4.406270856780959,https://ss3.4sqi.net/img/categories_v2/shops/apparel_,Clothing Store,shops,shops apparel_,3
Antwerpen,Zest Fresh Juice Bar,51.21859071394202,4.403125133497203,https://ss3.4sqi.net/img/categories_v2/food/juicebar_,Juice Bar,food,food juicebar_,3
Antwerpen,Belmondo,51.219091643180896,4.400518117371707,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,Bar,nightlife,nightlife pub_,3
Antwerpen,Grote Markt,51.221163262148714,4.3998096129869495,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/plaza_,Plaza,parks_outdoors,parks_outdoors plaza_,3
Antwerpen,MoMade Cupcakes,51.21908459021154,4.399444977766275,https://ss3.4sqi.net/img/categories_v2/food/cupcakes_,Cupcake Shop,food,food cupcakes_,3
Antwerpen,Cocktails at Nine,51.22077235539168,4.4021146735658405,https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_,Cocktail Bar,nightlife,nightlife cocktails_,3
Antwerpen,Dille & Kamille,51.219947451906656,4.4034608573358565,https://ss3.4sqi.net/img/categories_v2/shops/food_butcher_,Kitchen Supply Store,shops,shops food_butcher_,3
Antwerpen,& Other Stories,51.21706781466303,4.404330107539979,https://ss3.4sqi.net/img/categories_v2/shops/apparel_women_,Women's Store,shops,shops apparel_women_,3
Antwerpen,Falafel Tof,51.21997509462432,4.398477850381504,https://ss3.4sqi.net/img/categories_v2/food/falafel_,Falafel Restaurant,food,food falafel_,3
Antwerpen,Groenplaats,51.2188059938768,4.4014915091607465,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/plaza_,Plaza,parks_outdoors,parks_outdoors plaza_,3
Antwerpen,Fish a'gogo,51.22055089448579,4.399667780113635,https://ss3.4sqi.net/img/categories_v2/food/fishandchips_,Fish & Chips Shop,food,food fishandchips_,3
Antwerpen,Jones & co,51.21981744483137,4.399696649886646,https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_,Cocktail Bar,nightlife,nightlife cocktails_,3
Antwerpen,Cuperus,51.21975515447386,4.40534468009446,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,food,food coffeeshop_,3
Antwerpen,COS,51.21700133343011,4.4039889304103115,https://ss3.4sqi.net/img/categories_v2/shops/apparel_boutique_,Boutique,shops,shops apparel_boutique_,3
Antwerpen,Normo,51.22252670787801,4.4042768796048914,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,food,food coffeeshop_,3
Antwerpen,Umi Sushi & Asian Cuisine,51.21933575896549,4.401081374008544,https://ss3.4sqi.net/img/categories_v2/food/sushi_,Sushi Restaurant,food,food sushi_,3
Antwerpen,Pasta Hippo Vino,51.2200675701429,4.400054642753866,https://ss3.4sqi.net/img/categories_v2/food/italian_,Italian Restaurant,food,food italian_,3
Antwerpen,Paters Vaetje,51.22063331582656,4.4005331890040456,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,Pub,nightlife,nightlife pub_,3
Antwerpen,BACKYARD,51.221138692616435,4.40111654552789,https://ss3.4sqi.net/img/categories_v2/food/default_,Restaurant,food,food default_,3
Antwerpen,De Muze,51.220569013500956,4.402699301467772,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/musicvenue_jazzclub_,Jazz Club,arts_entertainment,arts_entertainment musicvenue_jazzclub_,3
Antwerpen,Scotch & Soda,51.21761174958393,4.40192644823645,https://ss3.4sqi.net/img/categories_v2/shops/apparel_,Clothing Store,shops,shops apparel_,3
Antwerpen,Satay,51.2212,4.40427,https://ss3.4sqi.net/img/categories_v2/food/asian_,Asian Restaurant,food,food asian_,3
Antwerpen,Simply Emily,51.22117812244858,4.4044448821509645,https://ss3.4sqi.net/img/categories_v2/food/soup_,Soup Place,food,food soup_,3
Antwerpen,Caffe Mundi,51.221868031365396,4.400666287959621,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,food,food coffeeshop_,3
Antwerpen,Il Pastaiolo,51.217916934491065,4.404450790162609,https://ss3.4sqi.net/img/categories_v2/food/deli_,Deli / Bodega,food,food deli_,3
Antwerpen,The Chocolate Line,51.21809321715939,4.408361749118097,https://ss3.4sqi.net/img/categories_v2/shops/candystore_,Chocolate Shop,shops,shops candystore_,3
Antwerpen,Vans Store,51.21699695457625,4.400975582461252,https://ss3.4sqi.net/img/categories_v2/shops/apparel_shoestore_,Shoe Store,shops,shops apparel_shoestore_,3
Antwerpen,De Pottekijker,51.22109707205254,4.4018698571024215,https://ss3.4sqi.net/img/categories_v2/food/default_,Belgian Restaurant,food,food default_,3
Antwerpen,Copyright,51.21732004463701,4.399895803706711,https://ss3.4sqi.net/img/categories_v2/shops/bookstore_,Bookstore,shops,shops bookstore_,3
Antwerpen,Local Store,51.21632221098635,4.403123840364366,https://ss3.4sqi.net/img/categories_v2/food/breakfast_,Breakfast Spot,food,food breakfast_,3
Antwerpen,Glow Coffee,51.21966930644378,4.402761931906884,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,food,food coffeeshop_,3
Antwerpen,MOOSE in the CITY,51.216792239773035,4.400549169651517,https://ss3.4sqi.net/img/categories_v2/shops/apparel_,Clothing Store,shops,shops apparel_,3
Antwerpen,Tapa Bar,51.21954886046016,4.399444094245382,https://ss3.4sqi.net/img/categories_v2/food/spanish_,Spanish Restaurant,food,food spanish_,3
Antwerpen,Meat Factory,51.22102049999999,4.400271599999999,https://ss3.4sqi.net/img/categories_v2/food/default_,Belgian Restaurant,food,food default_,3
Antwerpen,Hoeked Doughnuts,51.215744147887094,4.402444438158051,https://ss3.4sqi.net/img/categories_v2/food/donuts_,Donut Shop,food,food donuts_,3
Antwerpen,Kammenstraat,51.21674033562375,4.401254874589246,https://ss3.4sqi.net/img/categories_v2/travel/highway_,Road,travel,travel highway_,3
Antwerpen,Sir Anthony Van Dyck,51.22021677531574,4.3992969252113845,https://ss3.4sqi.net/img/categories_v2/food/french_,French Restaurant,food,food french_,3
Antwerpen,Louis Vuitton,51.215914,4.406393,https://ss3.4sqi.net/img/categories_v2/shops/apparel_boutique_,Boutique,shops,shops apparel_boutique_,3
Antwerpen,BarBel,51.21842952052955,4.3985826929046015,https://ss3.4sqi.net/img/categories_v2/food/tapas_,Tapas Restaurant,food,food tapas_,3
Antwerpen,Ace & Tate,51.218214480199286,4.3976924024467525,https://ss3.4sqi.net/img/categories_v2/building/medical_opticalshop_,Optical Shop,building,building medical_opticalshop_,3
Antwerpen,Philip's Biscuits,51.2163790836574,4.404527931501155,https://ss3.4sqi.net/img/categories_v2/shops/candystore_,Candy Store,shops,shops candystore_,3
Antwerpen,‘t Stad Leest,51.21808595604925,4.397708675115859,https://ss3.4sqi.net/img/categories_v2/shops/bookstore_,Bookstore,shops,shops bookstore_,3
Antwerpen,Coffeelabs,51.21890751802474,4.408302381926603,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,food,food coffeeshop_,3
Antwerpen,Crème de la Crème,51.2205127837401,4.399552396582918,https://ss3.4sqi.net/img/categories_v2/food/icecream_,Ice Cream Shop,food,food icecream_,3
Antwerpen,Bij Lam & Yin,51.2193,4.3989,https://ss3.4sqi.net/img/categories_v2/food/asian_,Chinese Restaurant,food,food asian_,3
Antwerpen,St. Vincents,51.21526010570005,4.402679237957262,https://ss3.4sqi.net/img/categories_v2/shops/design_,Design Studio,shops,shops design_,3
Antwerpen,Pick&Mex,51.21936408741782,4.398731689775403,https://ss3.4sqi.net/img/categories_v2/food/taco_,Taco Place,food,food taco_,3
Antwerpen,Zadig & Voltaire,51.216491661186616,4.406509146285934,https://ss3.4sqi.net/img/categories_v2/shops/apparel_,Clothing Store,shops,shops apparel_,3
Antwerpen,Fabiola,51.21579375480791,4.399282528632412,https://ss3.4sqi.net/img/categories_v2/food/deli_,Sandwich Place,food,food deli_,3
Antwerpen,Mai-Thai Cuisine,51.22089793085739,4.398676237192057,https://ss3.4sqi.net/img/categories_v2/food/thai_,Thai Restaurant,food,food thai_,3
Antwerpen,Arte,51.22081295778817,4.398452234289174,https://ss3.4sqi.net/img/categories_v2/food/italian_,Italian Restaurant,food,food italian_,3
Antwerpen,Vandoag is 't,51.222130622098796,4.411100228622432,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,food,food coffeeshop_,3
Antwerpen,Camino,51.217141819121,4.3965816061952285,https://ss3.4sqi.net/img/categories_v2/food/vietnamese_,Vietnamese Restaurant,food,food vietnamese_,3
Antwerpen,Cartoon's ,51.2216927092605,4.398058396803749,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/movietheater_,Indie Movie Theater,arts_entertainment,arts_entertainment movietheater_,3
Antwerpen,AMUZ,51.21610481207416,4.401909094111822,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/musicvenue_,Concert Hall,arts_entertainment,arts_entertainment musicvenue_,3
