ID,Name,Habitants,Index,Acreage,HabitantsPerSquareKm,ProsperityIndex,Province,Latitude,Longitude,BoundingBox,Frans,Nederlands,Duits,Begin,Einde,geojson_name,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue
565,Zuienkerke,2721,113.0,48.86,56,113.0,West-Vlaanderen,51.2685834,3.1567406094326205,"['51.243806', '51.29076', '3.1160425', '3.193541']",-,Zuienkerke,-,01.01.0001,31.12.9999,Zuienkerke,0,Supermarket,Bar,Bus Stop,Park,Grocery Store
566,Tinlot,2706,156.0,37.12,73,110.1,Luik,50.4777419,5.378695400000002,"['50.4466996', '50.5062878', '5.3076371', '5.4454947']",Tinlot,-,-,02.01.1977,31.12.9999,Tinlot,4,Supermarket,French Restaurant,Restaurant,Clothing Store,Theme Park
567,Rendeux,2637,79.0,68.83,38,90.3,Luxemburg,50.2330466,5.5043243,"['50.1638022', '50.2651698', '5.4421258', '5.6135255']",Rendeux,-,-,01.01.0001,31.12.9999,Rendeux,4,Friterie,Hotel,Botanical Garden,Ice Cream Shop,Restaurant
568,Vresse-sur-Semois,2615,56.0,101.04,26,85.0,Namen,49.8729769,4.9340633,"['49.7855452', '49.9309164', '4.8475351', '4.9908124']",Vresse-sur-Semois,-,-,01.02.1977,31.12.9999,Vresse-sur-Semois,3,Restaurant,Hotel,Italian Restaurant,Tourist Information Center,Beach
569,Sainte-Ode,2555,121.0,97.87,26,88.1,Luxemburg,50.0362888,5.5245094,"['49.9552613', '50.0775516', '5.4148743', '5.6270529']",Sainte-Ode,-,-,03.01.1977,31.12.9999,Sainte-Ode,3,Fabric Shop,Campground,Soccer Stadium,Food,Zoo
570,Trois-Ponts,2553,127.0,68.9,37,93.4,Luik,50.3726812,5.8702957,"['50.3197785', '50.3912922', '5.7597006', '6.0020397']",Trois-Ponts,-,-,01.01.1971,31.12.9999,Trois-Ponts,0,Bar,Pizza Place,Bakery,Brasserie,Vacation Rental
571,Tellin,2432,150.0,56.64,43,93.1,Luxemburg,50.081019,5.216837,"['50.0261117', '50.1102221', '5.1524704', '5.3170064']",Tellin,-,-,01.01.0001,31.12.9999,Tellin,0,Bar,Supermarket,Restaurant,Food & Drink Shop,Farmers Market
572,Fauvillers,2281,88.0,74.11,31,98.6,Luxemburg,49.85093060000001,5.665031,"['49.8200397', '49.9424849', '5.6143425', '5.7840328']",Fauvillers,-,-,01.01.0001,31.12.9999,Fauvillers,3,Campground,Pharmacy,Resort,Bed & Breakfast,Playground
573,Bever,2159,63.0,19.78,109,114.5,Vlaams-Brabant,50.7164481,3.943147,"['50.6889705', '50.7330106', '3.88932', '3.9741728']",Biévène,Bever,-,01.01.0001,31.12.9999,Bever#Biévène,0,Athletics & Sports,Food Court,Bed & Breakfast,Pub,College Gym
574,Rouvroy,2107,110.0,27.68,76,94.4,Luxemburg,49.539075,5.48971,"['49.4969821', '49.5749892', '5.4414056', '5.5333188']",Rouvroy,-,-,03.01.1977,31.12.9999,Rouvroy,2,Bakery,Zoo,Farm,Fast Food Restaurant,Festival
575,Spiere-Helkijn,2049,94.0,10.78,190,94.9,West-Vlaanderen,50.7279919,3.3667739,"['50.7096189', '50.7481815', '3.3237599', '3.4044791']",Espierres-Helchin,Spiere-Helkijn,-,03.01.1977,31.12.9999,Spiere-Helkijn#Espierres-Helchin,3,Restaurant,Friterie,Bar,Supermarket,French Restaurant
576,Horebeke,2036,72.0,11.2,182,118.8,Oost-Vlaanderen,50.8348628,3.6920346,"['50.7983998', '50.8622645', '3.672245', '3.7160527']",-,Horebeke,-,01.01.1977,31.12.9999,Horebeke,0,Bar,Belgian Restaurant,Friterie,Gastropub,French Restaurant
577,Martelange,1876,168.0,29.67,63,96.2,Luxemburg,49.8313323,5.737636599999999,"['49.7719946', '49.8577727', '5.6845055', '5.758543']",Martelange,-,-,01.01.0001,31.12.9999,Martelange,0,Forest,Bakery,Bistro,Liquor Store,Restaurant
578,Herbeumont,1624,67.0,58.81,28,90.5,Luxemburg,49.7815364,5.2377736,"['49.7593794', '49.8322323', '5.2151581', '5.3963205']",Herbeumont,-,-,01.01.0001,31.12.9999,Herbeumont,0,Café,Castle,Bistro,Rest Area,Restaurant
579,Daverdisse,1395,92.0,56.4,25,83.4,Luxemburg,50.0217646,5.1184644,"['49.9612874', '50.0452849', '4.9729894', '5.1520514']",Daverdisse,-,-,01.01.0001,31.12.9999,Daverdisse,3,Hotel,Resort,Forest,Vacation Rental,Hostel
580,Mesen,1065,75.0,3.58,298,76.2,West-Vlaanderen,50.765419,2.8984493,"['50.7527296', '50.7670386', '2.8695657', '2.9224658']",Messines,Mesen,-,01.01.0001,31.12.9999,Mesen#Messines,0,Plaza,Friterie,Bar,Health & Beauty Service,Bakery
