ID,Name,Habitants,Index,Acreage,HabitantsPerSquareKm,ProsperityIndex,Province,Latitude,Longitude,BoundingBox,Frans,Nederlands,Duits,Begin,Einde,geojson_name,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue
493,Amel,5474,134.0,125.15,44,92.7,Luik,50.3543055,6.1705559,"['50.2843007', '50.4048563', '6.0698834', '6.2860473']",Amblève,Amel,Amel,01.01.0001,31.12.9999,Amblève,4,Friterie,Supermarket,Restaurant,Soccer Field,Zoo
494,Léglise,5471,176.0,172.92,32,98.4,Luxemburg,49.80035820000001,5.5381496,"['49.7349998', '49.900915', '5.4105755', '5.7053411']",Léglise,-,-,01.01.0001,31.12.9999,Léglise,2,Soccer Stadium,Friterie,Bakery,Road,Other Great Outdoors
495,Marchin,5469,188.0,30.0,182,103.1,Luik,50.480205100000006,5.2263372000000015,"['50.4272169', '50.5077577', '5.1988751', '5.2845644']",Marchin,-,-,01.01.0001,31.12.9999,Marchin,1,Salsa Club,Stables,Public Art,Bus Stop,Bike Trail
496,Bouillon,5411,79.0,149.09,36,89.0,Luxemburg,49.7949836,5.0672528,"['49.7091976', '49.8836831', '4.9684415', '5.1899373']",Bouillon,-,-,01.01.0001,31.12.9999,Bouillon,3,Hotel,Italian Restaurant,French Restaurant,Bistro,Bar
497,Comblain-au-Pont,5404,331.0,22.68,238,91.7,Luik,50.4756986,5.5748498,"['50.4591746', '50.5121025', '5.535316', '5.6357646']",Comblain-au-Pont,-,-,01.01.0001,31.12.9999,Comblain-au-Pont,4,Supermarket,Bar,Sports Club,French Restaurant,Pizza Place
498,Paliseul,5389,181.0,112.96,48,86.1,Luxemburg,49.9035269,5.1349041,"['49.8254937', '49.9931981', '5.0427983', '5.2015202']",Paliseul,-,-,01.01.0001,31.12.9999,Paliseul,4,Restaurant,Bar,Friterie,Supermarket,Café
499,Héron,5375,119.0,38.32,140,106.6,Luik,50.5508203,5.0971783,"['50.5040211', '50.5793306', '5.0342143', '5.172475']",Héron,-,-,01.01.0001,31.12.9999,Héron,3,Basketball Court,Pharmacy,Spanish Restaurant,Bistro,Zoo
500,Ruiselede,5358,79.0,30.2,177,100.9,West-Vlaanderen,51.0630592,3.3787805823544,"['51.024076', '51.101172', '3.3268921', '3.4460049']",-,Ruiselede,-,01.01.0001,31.12.9999,Ruiselede,3,Belgian Restaurant,Athletics & Sports,Event Space,Bakery,Soccer Field
501,Momignies,5305,88.0,85.58,62,76.9,Henegouwen,50.02863170000001,4.1649981,"['49.9545998', '50.0627089', '4.1351961', '4.3145519']",Momignies,-,-,01.01.0001,31.12.9999,Momignies,3,Sandwich Place,Brewery,Convenience Store,Campground,Athletics & Sports
502,Gouvy,5286,112.0,165.11,32,84.9,Luxemburg,50.1907344,5.9549901,"['50.1102275', '50.2703394', '5.7880943', '6.0343884']",Gouvy,-,-,02.01.1977,31.12.9999,Gouvy,4,Bar,Nature Preserve,Campground,Supermarket,French Restaurant
503,Glabbeek,5271,181.0,26.78,197,115.5,Vlaams-Brabant,50.8725203,4.9513009000000014,"['50.8312385', '50.9012483', '4.9056027', '4.9933777']",-,Glabbeek,-,01.01.0001,31.12.9999,Glabbeek,0,Bar,Bistro,Stables,Athletics & Sports,Bus Stop
504,Libin,5223,131.0,139.72,37,95.3,Luxemburg,49.9809464,5.2569017,"['49.9081268', '50.0461817', '5.123961', '5.3303413']",Libin,-,-,01.01.0001,31.12.9999,Libin,4,Friterie,Athletics & Sports,Italian Restaurant,Hotel,Snack Place
505,Houffalize,5193,90.0,166.58,31,93.9,Luxemburg,50.1323761,5.7886928,"['50.061527', '50.2361266', '5.6518903', '5.8955135']",Houffalize,-,-,01.01.0001,31.12.9999,Houffalize,0,Bar,Campground,Bakery,French Restaurant,Trail
506,Chiny,5180,86.0,113.69,46,95.1,Luxemburg,49.738581,5.3394252,"['49.6522363', '49.7848666', '5.3088873', '5.4812819']",Chiny,-,-,01.01.0001,31.12.9999,Chiny,3,Hotel,Athletics & Sports,Campground,Belgian Restaurant,River
507,Havelange,5175,110.0,104.73,49,93.8,Namen,50.3870946,5.23958,"['50.2940071', '50.417273', '5.129551', '5.3635158']",Havelange,-,-,01.01.0001,31.12.9999,Havelange,4,Friterie,Fast Food Restaurant,Gas Station,Supermarket,Pizza Place
508,Rumes,5167,105.0,23.72,218,93.2,Henegouwen,50.5557678,3.3039251000000003,"['50.5125141', '50.5724105', '3.2782089', '3.3642715']",Rumes,-,-,01.01.0001,31.12.9999,Rumes,0,Bar,Plaza,Belgian Restaurant,Athletics & Sports,Festival
509,Honnelles,5159,80.0,43.65,118,101.5,Henegouwen,50.352089,3.731019,"['50.3031647', '50.3845829', '3.6571584', '3.8389881']",Honnelles,-,-,02.01.1977,31.12.9999,Honnelles,3,Pharmacy,Lake,Beer Garden,Hostel,Food
510,Ohey,5127,129.0,56.62,91,97.5,Namen,50.4359066,5.123843900000002,"['50.3976531', '50.4789049', '5.0759115', '5.2371344']",Ohey,-,-,01.01.0001,31.12.9999,Ohey,4,Supermarket,Athletics & Sports,Italian Restaurant,Stadium,Pharmacy
511,Alveringem,5047,5.0,80.01,63,87.6,West-Vlaanderen,51.01509585,2.7225688102727403,"['50.9858775', '51.04427', '2.6694369', '2.7705588']",-,Alveringem,-,01.01.0001,31.12.9999,Alveringem,0,Bar,Pub,Restaurant,Pharmacy,Cafeteria
512,Houyet,4956,105.0,122.31,41,92.2,Namen,50.1868629,5.0067044,"['50.1322509', '50.2513883', '4.8523427', '5.1198387']",Houyet,-,-,01.01.0001,31.12.9999,Houyet,3,Campground,Rafting,Vacation Rental,Bistro,Golf Course
513,Ferrières,4935,165.0,56.9,87,102.4,Luik,50.3999541,5.605138,"['50.3652906', '50.4600848', '5.5184999', '5.7094441']",Ferrières,-,-,01.01.0001,31.12.9999,Ferrières,4,Bar,Wine Bar,Plaza,Pizza Place,Ice Cream Shop
514,Cerfontaine,4923,109.0,83.45,59,91.4,Namen,50.1687764,4.4125932,"['50.121726', '50.2407351', '4.3617132', '4.518752']",Cerfontaine,-,-,01.01.0001,31.12.9999,Cerfontaine,4,Bar,Fast Food Restaurant,Sports Club,Supermarket,Belgian Restaurant
515,Sivry-Rance,4798,82.0,72.97,66,89.2,Henegouwen,50.1640023,4.189998200000002,"['50.1204467', '50.2154649', '4.1271221', '4.304289']",Sivry-Rance,-,-,02.01.1977,31.12.9999,Sivry-Rance,4,Supermarket,French Restaurant,Restaurant,Bistro,Harbor / Marina
516,Linkebeek,4671,387.0,4.15,1126,124.9,Vlaams-Brabant,50.7732003,4.3359991,"['50.7562593', '50.7799032', '4.3218436', '4.3674265']",-,Linkebeek,-,01.01.0001,31.12.9999,Linkebeek,0,Bar,Tennis Stadium,Farm,Fast Food Restaurant,Festival
517,Clavier,4637,128.0,79.12,59,97.9,Luik,50.4115085,5.3575692,"['50.3649385', '50.4615887', '5.221246', '5.4290234']",Clavier,-,-,01.01.0001,31.12.9999,Clavier,3,Brasserie,Castle,Restaurant,Hotel,Food & Drink Shop
518,Gedinne,4632,98.0,151.56,31,89.4,Namen,49.9792667,4.9388966,"['49.9169026', '50.0515382', '4.790163', '5.0094269']",Gedinne,-,-,01.01.0001,31.12.9999,Gedinne,3,Hotel,Pub,Greek Restaurant,Campground,Restaurant
519,Musson,4551,181.0,34.81,131,99.5,Luxemburg,49.5580794,5.705881,"['49.5388261', '49.6077897', '5.6164686', '5.7348992']",Musson,-,-,01.01.0001,31.12.9999,Musson,1,Bus Stop,Bowling Alley,Friterie,Gym / Fitness Center,Zoo
521,Pepingen,4479,96.0,36.05,124,125.4,Vlaams-Brabant,50.7598483,4.157699299999999,"['50.705589', '50.789807', '4.071963', '4.2025124']",-,Pepingen,-,01.01.0001,31.12.9999,Pepingen,4,Supermarket,Friterie,Soccer Field,Farmers Market,Cafeteria
522,Baelen,4454,150.0,85.73,52,100.5,Luik,50.6312854,5.9713469,"['50.5197347', '50.649692', '5.9341089', '6.1396911']",Baelen,-,-,01.01.0001,31.12.9999,Baelen,3,Friterie,Bar,Supermarket,Brasserie,Pizza Place
523,Tintigny,4300,118.0,81.79,53,97.4,Luxemburg,49.6820986,5.5185152,"['49.619245', '49.7831601', '5.4160083', '5.5542845']",Tintigny,-,-,01.01.0001,31.12.9999,Tintigny,2,Steakhouse,Restaurant,Pharmacy,Bakery,Forest
524,Aubel,4288,134.0,18.83,228,102.9,Luik,50.7041498,5.8585553,"['50.6762294', '50.717495', '5.798343', '5.9221797']",Aubel,-,-,01.01.0001,31.12.9999,Aubel,3,Restaurant,Italian Restaurant,Sandwich Place,Soccer Field,Tennis Stadium
525,Merbes-le-Château,4266,135.0,30.24,141,89.7,Henegouwen,50.3234035,4.1644816,"['50.2811447', '50.3667921', '4.1328181', '4.2674347']",Merbes-le-Château,-,-,01.01.0001,31.12.9999,Merbes-le-Château,3,Restaurant,Pharmacy,Friterie,Rock Club,Food
526,La Roche-en-Ardenne,4253,84.0,147.52,29,86.2,Luxemburg,50.1815604,5.575947599999999,"['50.0898568', '50.2306596', '5.46133', '5.7461001']",La Roche-en-Ardenne,-,-,01.01.0001,31.12.9999,La Roche-en-Ardenne,0,Bar,Campground,Restaurant,Hotel,French Restaurant
527,Verlaine,4228,201.0,24.21,175,108.2,Luik,50.6075114,5.318443900000001,"['50.5740553', '50.637334', '5.2507263', '5.3490097']",Verlaine,-,-,01.01.0001,31.12.9999,Verlaine,3,Sports Club,Brasserie,Electronics Store,Soccer Stadium,Food & Drink Shop
528,Modave,4212,171.0,40.37,104,107.1,Luik,50.44161370000001,5.301793599999999,"['50.417965', '50.5247647', '5.2354687', '5.3547775']",Modave,-,-,01.01.0001,31.12.9999,Modave,3,Hotel,Castle,Friterie,Dessert Shop,Bakery
529,Anthisnes,4189,141.0,37.08,113,109.0,Luik,50.481662,5.5225260999999986,"['50.4577714', '50.5229653', '5.4378995', '5.5537862']",Anthisnes,-,-,02.01.1977,31.12.9999,Anthisnes,3,Museum,Recreation Center,Bistro,Food Court,Fast Food Restaurant
530,Voeren,4146,100.0,50.63,82,95.0,Limburg,50.7465898,5.8390527122070095,"['50.7099174', '50.7832452', '5.6820598', '5.9112137']",Fourons,Voeren,-,01.01.1977,31.12.9999,Voeren#Fourons,3,Hotel,Bar,French Restaurant,Bed & Breakfast,Concert Hall
531,Olne,4080,135.0,15.99,255,117.8,Luik,50.5901199,5.7479948,"['50.5635983', '50.6103477', '5.6930006', '5.7718949']",Olne,-,-,01.01.0001,31.12.9999,Olne,3,Recreation Center,Brewery,Gas Station,Athletics & Sports,Food & Drink Shop
532,Froidchapelle,3959,119.0,86.03,46,86.4,Henegouwen,50.1511597,4.3269129,"['50.0826276', '50.242752', '4.2819946', '4.401399']",Froidchapelle,-,-,01.01.0001,31.12.9999,Froidchapelle,0,Brasserie,Belgian Restaurant,Friterie,Bar,Dessert Shop
534,Faimes,3935,150.0,28.48,138,115.0,Luik,50.665246,5.262322,"['50.6158147', '50.6778824', '5.1926193', '5.2866339']",Faimes,-,-,01.01.1971,31.12.9999,Faimes,4,Friterie,Skating Rink,Bakery,Supermarket,BBQ Joint
535,Oerle,3895,173.0,19.64,198,105.8,Luik,50.7291681,5.3530675,"['50.6988138', '50.7479722', '5.3039299', '5.3943125']",Oreye,Oerle,-,01.01.0001,31.12.9999,Oreye,3,Nature Preserve,Zoo,Food Court,Fast Food Restaurant,Festival
536,Hamoir,3880,233.0,27.8,140,96.3,Luik,50.4253958,5.5328465,"['50.4073166', '50.4650153', '5.5051533', '5.6232117']",Hamoir,-,-,01.01.0001,31.12.9999,Hamoir,3,Italian Restaurant,Train Station,Pizza Place,Tennis Court,Beer Garden
537,Mont-de-l'Enclus,3764,85.0,26.93,140,98.4,Henegouwen,50.7456511,3.5110542,"['50.7036539', '50.771312', '3.4533407', '3.5477839']",Mont-de-l'Enclus,-,-,02.01.1977,31.12.9999,Mont-de-l'Enclus,0,Bar,Supermarket,Friterie,Restaurant,Bistro
538,Brugelette,3728,75.0,28.4,131,91.7,Henegouwen,50.5959261,3.8525914,"['50.5693194', '50.6340308', '3.8191171', '3.911754']",Brugelette,-,-,01.01.0001,31.12.9999,Brugelette,2,Karaoke Bar,Café,Train Station,Bakery,Park
539,Vleteren,3691,87.0,38.15,97,89.4,West-Vlaanderen,50.930143,2.7289867,"['50.8822168', '50.9567132', '2.6900155', '2.8105315']",-,Vleteren,-,01.01.1977,31.12.9999,Vleteren,3,Stables,Belgian Restaurant,Flower Shop,Farm,Bank
540,Bertogne,3659,128.0,91.67,40,92.8,Luxemburg,50.0842908,5.6675577000000015,"['50.006247', '50.1165013', '5.538049', '5.7342071']",Bertogne,-,-,01.01.0001,31.12.9999,Bertogne,1,Restaurant,Vacation Rental,Pharmacy,Bus Stop,Supermarket
541,Lierneux,3614,99.0,92.08,39,95.2,Luik,50.2858086,5.7921558,"['50.2543574', '50.364552', '5.7027258', '5.8815336']",Lierneux,-,-,01.01.0001,31.12.9999,Lierneux,4,Ski Area,Bakery,Pub,Supermarket,Gastropub
543,Manhay,3556,99.0,119.81,30,97.1,Luxemburg,50.2929635,5.675634099999999,"['50.2199024', '50.3721014', '5.5745675', '5.7483678']",Manhay,-,-,03.01.1977,31.12.9999,Manhay,4,Bar,Fast Food Restaurant,Supermarket,Hotel,Food & Drink Shop
544,Hélécine,3553,168.0,16.62,214,106.0,Waals-Brabant,50.7514034,4.9822395,"['50.7236531', '50.7697958', '4.9255524', '5.0204874']",Hélécine,-,-,03.01.1977,31.12.9999,Hélécine,0,Brasserie,Plaza,Gastropub,Food Court,Tennis Stadium
545,Geer,3485,144.0,23.62,148,110.8,Luik,50.6684881,5.1710529,"['50.6431444', '50.6983523', '5.1399615', '5.226876']",Geer,-,-,01.01.0001,31.12.9999,Geer,1,Bus Stop,Park,Forest,Soccer Field,Tennis Court
546,Vloesberg,3447,67.0,23.0,150,105.6,Henegouwen,50.7371675,3.7378707,"['50.7293162', '50.7818702', '3.6858142', '3.7771394']",Flobecq,Vloesberg,-,01.01.0001,31.12.9999,Flobecq#Vloesberg,2,Steakhouse,Pharmacy,Brewery,Friterie,Bakery
547,Crisnée,3412,174.0,16.83,203,110.1,Luik,50.715885,5.397318,"['50.6853683', '50.7354124', '5.3631156', '5.4317253']",Crisnée,-,-,01.01.0001,31.12.9999,Crisnée,1,Health & Beauty Service,Construction & Landscaping,Bus Stop,Zoo,Food Court
548,Bièvre,3355,121.0,109.59,31,85.1,Namen,49.9411216,5.0168496,"['49.8426048', '50.016012', '4.9306482', '5.1195994']",Bièvre,-,-,01.01.0001,31.12.9999,Bièvre,3,Restaurant,Plaza,Bakery,Gas Station,Soccer Field
549,Lijsem,3311,156.0,14.75,225,108.5,Luik,50.711613,5.0318166,"['50.6984773', '50.750798', '4.9925805', '5.0608611']",Lincent,Lijsem,-,01.01.0001,31.12.9999,Lincent,3,Athletics & Sports,Memorial Site,Road,Zoo,Food
